"from","to","Carrier","Departures","Seats","Passengers","Aircraft","Distance"
"BGR","JFK","British Airways Plc",1,226,193,627,382
"BGR","JFK","British Airways Plc",1,299,253,819,382
"BOS","EWR","British Airways Plc",1,216,141,627,200
"ANC","JFK","China Airlines Ltd.",13,5161,3135,819,3386
"JFK","ANC","China Airlines Ltd.",13,5161,4097,819,3386
"LAS","LAX","Korean Air Lines Co. Ltd.",14,3654,1353,627,236
"MIA","JFK","Lan Ecuador",1,204,183,626,1090
"EWR","ANC","Eva Airways Corporation",18,5718,4818,627,3370
"BJC","MIA","G5 Executive Ag",1,14,2,667,1732
"MIA","BJC","G5 Executive Ag",1,14,1,667,1732
"TEB","ANC","G5 Executive Ag",1,14,2,667,3365
"JFK","LAX","Qantas Airways Ltd.",27,6340,4645,696,2475
"LAX","JFK","Qantas Airways Ltd.",27,6337,4117,696,2475
"LAX","SFO","Cathay Pacific Airways Ltd.",1,378,341,819,337
"AEX","LAS","London Air Services Limited",1,9,1,686,1340
"BFI","SBA","London Air Services Limited",1,9,6,686,913
"ELM","PIT","London Air Services Limited",1,12,4,669,208
"GEG","SUN","London Air Services Limited",2,18,9,686,324
"ICT","PBI","London Air Services Limited",1,9,5,686,1263
"LAS","LAX","London Air Services Limited",1,9,1,686,236
"LAS","PBI","London Air Services Limited",1,9,1,686,2158
"LAS","SFO","London Air Services Limited",1,9,4,686,414
"LAX","LAS","London Air Services Limited",1,9,1,686,236
"PBI","AEX","London Air Services Limited",1,9,1,686,818
"PBI","ICT","London Air Services Limited",1,9,4,686,1263
"PIT","VCT","London Air Services Limited",1,12,5,669,1240
"SFO","LAX","London Air Services Limited",1,9,2,686,337
"VCT","DWH","London Air Services Limited",1,12,5,669,117
"IAD","JFK","Virgin Atlantic Airways",1,367,289,819,228
"ABE","CLT","PSA Airlines Inc.",20,1000,789,629,481
"ABE","HPN","PSA Airlines Inc.",1,50,16,629,95
"AGS","CLT","PSA Airlines Inc.",109,5450,4384,629,140
"AGS","CLT","PSA Airlines Inc.",1,70,54,631,140
"AVL","CLT","PSA Airlines Inc.",103,5150,4208,629,92
"AVL","CLT","PSA Airlines Inc.",11,770,642,631,92
"AVP","CLT","PSA Airlines Inc.",31,2170,1959,631,509
"AVP","PHL","PSA Airlines Inc.",5,250,227,629,105
"BDL","CLT","PSA Airlines Inc.",4,200,89,629,644
"BHM","CLT","PSA Airlines Inc.",54,2700,2328,629,351
"BHM","CLT","PSA Airlines Inc.",108,7560,6302,631,351
"BNA","CLT","PSA Airlines Inc.",6,300,277,629,329
"BNA","CLT","PSA Airlines Inc.",10,700,550,631,329
"BNA","DCA","PSA Airlines Inc.",61,3050,2256,629,562
"BNA","PHL","PSA Airlines Inc.",54,2700,2442,629,675
"BTR","CLT","PSA Airlines Inc.",77,3850,2976,629,675
"BUF","CLT","PSA Airlines Inc.",28,1400,1283,629,546
"BUF","DCA","PSA Airlines Inc.",25,1250,719,629,296
"BUF","PHL","PSA Airlines Inc.",2,100,77,629,279
"BWI","PHL","PSA Airlines Inc.",77,3850,3239,629,90
"CAE","CLT","PSA Airlines Inc.",11,550,361,629,88
"CAE","CLT","PSA Airlines Inc.",3,210,187,631,88
"CAE","DCA","PSA Airlines Inc.",29,1450,743,629,408
"CAK","CLT","PSA Airlines Inc.",121,6050,5008,629,394
"CAK","CLT","PSA Airlines Inc.",25,1750,1354,631,394
"CAK","DCA","PSA Airlines Inc.",31,1550,851,629,274
"CAK","PHL","PSA Airlines Inc.",52,2600,2053,629,335
"CHA","CLT","PSA Airlines Inc.",64,3200,2513,629,242
"CHA","DCA","PSA Airlines Inc.",25,1250,639,629,523
"CHO","CLT","PSA Airlines Inc.",30,1500,1078,629,245
"CHS","CLT","PSA Airlines Inc.",2,100,88,629,168
"CHS","CLT","PSA Airlines Inc.",8,560,331,631,168
"CHS","DCA","PSA Airlines Inc.",4,200,157,629,444
"CLE","CLT","PSA Airlines Inc.",4,200,144,629,430
"CLE","CLT","PSA Airlines Inc.",1,70,45,631,430
"CLE","PHL","PSA Airlines Inc.",2,100,48,629,363
"CLT","ABE","PSA Airlines Inc.",20,1000,898,629,481
"CLT","AGS","PSA Airlines Inc.",108,5400,4242,629,140
"CLT","AGS","PSA Airlines Inc.",1,70,56,631,140
"CLT","AVL","PSA Airlines Inc.",104,5200,4066,629,92
"CLT","AVL","PSA Airlines Inc.",10,700,576,631,92
"CLT","AVP","PSA Airlines Inc.",31,2170,1826,631,509
"CLT","BDL","PSA Airlines Inc.",4,200,165,629,644
"CLT","BHM","PSA Airlines Inc.",53,2650,2001,629,351
"CLT","BHM","PSA Airlines Inc.",112,7840,6179,631,351
"CLT","BNA","PSA Airlines Inc.",6,300,212,629,329
"CLT","BNA","PSA Airlines Inc.",10,700,544,631,329
"CLT","BTR","PSA Airlines Inc.",77,3850,2847,629,675
"CLT","BUF","PSA Airlines Inc.",27,1350,1221,629,546
"CLT","BWI","PSA Airlines Inc.",27,1350,1070,629,361
"CLT","CAE","PSA Airlines Inc.",31,1550,1241,629,88
"CLT","CAE","PSA Airlines Inc.",3,210,128,631,88
"CLT","CAK","PSA Airlines Inc.",121,6050,5120,629,394
"CLT","CAK","PSA Airlines Inc.",25,1750,1391,631,394
"CLT","CHA","PSA Airlines Inc.",64,3200,2318,629,242
"CLT","CHO","PSA Airlines Inc.",30,1500,1156,629,245
"CLT","CHS","PSA Airlines Inc.",2,100,44,629,168
"CLT","CHS","PSA Airlines Inc.",8,560,339,631,168
"CLT","CLE","PSA Airlines Inc.",4,200,171,629,430
"CLT","CLE","PSA Airlines Inc.",1,70,46,631,430
"CLT","CMH","PSA Airlines Inc.",2,100,87,629,346
