"name","City","Position"
"BGR","Bangor, ME","N444827 W0684941"
"BOS","Boston, MA","N422152 W0710019"
"ANC","Anchorage, AK","N611028 W1495947"
"JFK","New York, NY","N403823 W0734644"
"LAS","Las Vegas, NV","N360449 W1150908"
"MIA","Miami, FL","N254736 W0801726"
"EWR","Newark, NJ","N404133 W0741007"
"BJC","Broomfield, CO","N395432 W1050702"
"TEB","Teterboro, NJ","N405100 W0740339"
"LAX","Los Angeles, CA","N335633 W1182429"
"AEX","Alexandria, LA","N311939 W0923255"
"BFI","Seattle, WA","N473148 W1221807"
"ELM","Elmira/Corning, NY","N420936 W0765329"
"GEG","Spokane, WA","N473712 W1173202"
"ICT","Wichita, KS","N373860 W0972559"
"PBI","West Palm Beach/Palm Beach, FL","N264059 W0800544"
"PIT","Pittsburgh, PA","N402929 W0801358"
"SFO","San Francisco, CA","N373708 W1222230"
"VCT","Victoria, TX","N285109 W0965507"
"IAD","Washington, DC","N385640 W0772721"
"ABE","Allentown/Bethlehem/Easton, PA","N403909 W0752625"
"AGS","Augusta, GA","N332212 W0815752"
"AVL","Asheville, NC","N352610 W0823230"
"AVP","Scranton/Wilkes-Barre, PA","N412017 W0754327"
"BDL","Hartford, CT","N415620 W0724060"
"BHM","Birmingham, AL","N333347 W0864513"
"BNA","Nashville, TN","N360728 W0864041"
"BTR","Baton Rouge, LA","N303159 W0910859"
"BUF","Buffalo, NY","N425626 W0784356"
"BWI","Baltimore, MD","N391031 W0764006"
"CAE","Columbia, SC","N335620 W0810710"
"CAK","Akron, OH","N405459 W0812633"
"CHA","Chattanooga, TN","N350207 W0851214"
"CHO","Charlottesville, VA","N380819 W0782710"
"CHS","Charleston, SC","N325355 W0800226"
"CLE","Cleveland, OH","N412439 W0815058"
"CLT","Charlotte, NC","N351250 W0805635"
"CMH","Columbus, OH","N395953 W0825331"
"CRW","Charleston/Dunbar, WV","N382223 W0813535"
"CVG","Cincinnati, OH","N390246 W0843944"
"DAB","Daytona Beach, FL","N291048 W0810329"
"DAY","Dayton, OH","N395409 W0841310"
"DCA","Washington, DC","N385108 W0770216"
"DTW","Detroit, MI","N421245 W0832112"
"EWN","New Bern/Morehead/Beaufort, NC","N350423 W0770235"
"FAY","Fayetteville, NC","N345928 W0785249"
"GNV","Gainesville, FL","N294124 W0821618"
"GPT","Gulfport/Biloxi, MS","N302426 W0890412"
"GSO","Greensboro/High Point, NC","N360552 W0795614"
"GSP","Greenville/Spartanburg, SC","N345344 W0821308"
"HPN","White Plains, NY","N410401 W0734227"
"HSV","Huntsville, AL","N343826 W0864623"
"ILM","Wilmington, NC","N341614 W0775409"
"IND","Indianapolis, IN","N394302 W0861740"
"JAN","Jackson/Vicksburg, MS","N321840 W0900433"
"LEX","Lexington, KY","N380213 W0843619"
"LGA","New York, NY","N404638 W0735221"
"LIT","Little Rock, AR","N344346 W0921328"
"MDT","Harrisburg, PA","N401137 W0764548"
"MGM","Montgomery, AL","N321802 W0862338"
"MKE","Milwaukee, WI","N425650 W0875348"
"MLB","Melbourne, FL","N280610 W0803845"
"MOB","Mobile, AL","N304129 W0881434"
"MSP","Minneapolis, MN","N445250 W0931301"
"MSY","New Orleans, LA","N295936 W0901529"
"MYR","Myrtle Beach, SC","N334047 W0785542"
"OAJ","Jacksonville/Camp Lejeune, NC","N344945 W0773644"
"ORF","Norfolk, VA","N365341 W0761204"
"PGV","Greenville, NC","N353807 W0772307"
"PHF","Newport News/Williamsburg, VA","N370755 W0762935"
"PHL","Philadelphia, PA","N395219 W0751428"
"PNS","Pensacola, FL","N302824 W0871115"
"PWM","Portland, ME","N433846 W0701832"
"RDU","Raleigh/Durham, NC","N355240 W0784715"
"RIC","Richmond, VA","N373019 W0771911"
"ROA","Roanoke, VA","N371932 W0795832"
"SAV","Savannah, GA","N320739 W0811208"
"SDF","Louisville, KY","N381028 W0854410"
"SRQ","Sarasota/Bradenton, FL","N272344 W0823316"
"STL","St. Louis, MO","N384452 W0902136"
"SYR","Syracuse, NY","N430640 W0760623"
"TLH","Tallahassee, FL","N302348 W0842101"
"TRI","Bristol/Kngsprt/Jhnsn Cty, TN","N362831 W0822427"
"TYS","Knoxville, TN","N354845 W0835934"
"VPS","Valparaiso, FL","N302859 W0863131"
"XNA","Fayetteville, AR","N361655 W0941825"
"ALB","Albany, NY","N424453 W0734811"
"BGM","Binghamton/Endct/Jhnsn Cty, NY","N421231 W0755847"
"BTV","Burlington, VT","N442819 W0730912"
"ERI","Erie, PA","N420455 W0801034"
"FLO","Florence, SC","N341107 W0794326"
"HHH","Hilton Head, SC","N321328 W0804151"
"HTS","Ashland, WV","N382200 W0823329"
"HVN","New Haven, CT","N411550 W0725314"
