"from","to","weight"
"Input","2um Spherical Phytoplankt",1.261404
"Input","Synedococcus",21.9353
"Input","Oscillatoria",0.193461
"Input","Small Diatoms (<20um)",12.3441
"Input","Big Diatoms (>20um)",12.2967
"Input","Dinoflagellates",0.389479
"Input","Other Phytoplankton",0.010475
"Input","Benthic Phytoplankton",10.5
"Input","Thalassia",180
"Input","Halodule",22
"Input","Syringodium",15
"Input","Roots",72
"Input","Drift Algae",75
"Input","Epiphytes",116
"Input","Meroplankton",0.048429
"Input","Stone Crab",0.000664
"Input","Water POC",3
"Input","DOC",6
"Thalassia","Output",1.3
"Halodule","Output",0.13
"Syringodium","Output",7
"Drift Algae","Output",1.8
"Pink Shrimp","Output",0.2477485
"Lobster","Output",0.002981023
"Callinectus sapidus","Output",0.01095201
"Stone Crab","Output",1.027777e-07
"Sharks","Output",0.0005188279
"Rays","Output",0.004259183
"Tarpon","Output",5.501834e-06
"Bonefish","Output",0.0003202698
"Lizardfish","Output",8.626596e-07
"Catfish","Output",2.850745e-06
"Toadfish","Output",1.399014e-06
"Halfbeaks","Output",0.000589438
"Needlefish","Output",2.713917e-07
"Snook","Output",5.444443e-05
"Grouper","Output",4.401273e-05
"Jacks","Output",0.0002235716
"Pompano","Output",0.0001972753
"Other Snapper","Output",0.0003356748
"Gray Snapper","Output",0.0002013107
"Mojarra","Output",1.011072e-07
"Grunt","Output",0.005922525
"Porgy","Output",0.0001120243
"Pinfish","Output",8.619817e-07
"Scianids","Output",0.003509126
"Spotted Seatrout","Output",0.0008005548
"Red Drum","Output",0.0008798632
"Spadefish","Output",1.970811e-05
"Parrotfish","Output",1.282821e-07
"Mackerel","Output",6.16899e-05
"Mullet","Output",1.46577e-05
"Barracuda","Output",0.004000669
"Flatfish","Output",3.0457e-06
"Filefishes","Output",3.854202e-08
"Puffer","Output",0.007898174
"Other Pelagic Fishes","Output",1.907656e-05
"Other Demersal Fishes","Output",1.626673e-08
"Free Bacteria","Respiration",93.61713
"Water Flagellates","Respiration",50.5165
"Water Cilitaes","Respiration",5.629564
"Acartia Tonsa","Respiration",0.416118
"Oithona nana","Respiration",2.012417
"Paracalanus","Respiration",0.9496036
"Other Copepoda","Respiration",2.820862
"Meroplankton","Respiration",0.5825159
"Other Zooplankton","Respiration",1.808016
"Benthic Flagellates","Respiration",35.38025
"Benthic Ciliates","Respiration",4.11128
"Meiofauna","Respiration",9.606857
"Sponges","Respiration",0.2160327
"Coral","Respiration",0.01390549
"Other Cnidaridae","Respiration",0.01749315
"Echinoderma","Respiration",0.7531382
"Bivalves","Respiration",0.80753
"Detritivorous Gastropods","Respiration",0.2280016
"Epiphytic Gastropods","Respiration",0.02755954
"Predatory Gastropods","Respiration",0.02888223
"Detritivorous Polychaetes","Respiration",0.9818583
"Predatory Polychaetes","Respiration",0.8569636
"Suspension Feeding Polych","Respiration",0.4491814
"Macrobenthos","Respiration",0.682153
"Benthic Crustaceans","Respiration",0.05517269
"Detritivorous Amphipods","Respiration",0.134433
"Herbivorous Amphipods","Respiration",0.1569536
"Isopods","Respiration",0.4443477
"Herbivorous Shrimp","Respiration",0.9909184
"Predatory Shrimp","Respiration",0.4765046
"Pink Shrimp","Respiration",0.9172407
"Thor Floridanus","Respiration",0.04179814
"Lobster","Respiration",0.05627013
"Detritivorous Crabs","Respiration",0.02420889
"Omnivorous Crabs","Respiration",0.2414584
"Predatory Crabs","Respiration",0.007417527
"Callinectus sapidus","Respiration",0.04086668
"Stone Crab","Respiration",0.00190285
"Sharks","Respiration",5.092902e-05
"Rays","Respiration",0.01656258
"Tarpon","Respiration",0.0009201344
"Bonefish","Respiration",0.001248387
"Sardines","Respiration",0.01172158
"Anchovy","Respiration",0.0002801087
"Bay Anchovy","Respiration",0.1376741
"Lizardfish","Respiration",0.001419308
"Catfish","Respiration",0.005374257
"Eels","Respiration",0.01251804
"Toadfish","Respiration",0.006575366
"Brotalus","Respiration",0.001490723
"Halfbeaks","Respiration",0.009174979
"Needlefish","Respiration",0.00627706
"Other Killifish","Respiration",0.002307318
"Goldspotted killifish","Respiration",0.05909975
"Rainwater killifish","Respiration",0.008984197
"Snook","Respiration",0.0001860023
"Sailfin Molly","Respiration",0.001470965
"Silverside","Respiration",0.004340853
"Other Horsefish","Respiration",0.003516664
"Gulf Pipefish","Respiration",0.006688935
"Dwarf Seahorse","Respiration",0.002437708
"Grouper","Respiration",2.824073e-05
"Jacks","Respiration",0.0003181371
"Pompano","Respiration",0.0004721803
"Other Snapper","Respiration",0.002163411
"Gray Snapper","Respiration",0.001438076
"Mojarra","Respiration",0.006293923
"Grunt","Respiration",0.01267223
"Porgy","Respiration",0.0004929068
"Pinfish","Respiration",0.0357964
"Scianids","Respiration",0.01522767
"Spotted Seatrout","Respiration",0.002803472
"Red Drum","Respiration",9.632721e-05
"Spadefish","Respiration",0.01755993
"Parrotfish","Respiration",0.001085012
"Mackerel","Respiration",1.329782e-05
"Mullet","Respiration",0.01541484
"Barracuda","Respiration",0.01087546
"Blennies","Respiration",0.003972482
"Code Goby","Respiration",0.04602745
"Clown Goby","Respiration",0.002306108
"Flatfish","Respiration",0.005347004
"Filefishes","Respiration",0.01759573
"Puffer","Respiration",0.0446004
"Other Pelagic Fishes","Respiration",0.0003104727
"Other Demersal Fishes","Respiration",0.008327987
"Loon","Respiration",2.426367e-05
"Greeb","Respiration",0.0004497244
"Pelican","Respiration",0.05937275
"Comorant","Respiration",0.01047434
"Big Herons & Egrets","Respiration",0.02257607
"Small Herons & Egrets","Respiration",0.01450305
"Ibis","Respiration",0.006869919
"Roseate Spoonbill","Respiration",0.00822995
"Herbivorous Ducks","Respiration",0.005195693
"Omnivorous Ducks","Respiration",0.01056861
"Predatory Ducks","Respiration",0.001044079
"Raptors","Respiration",0.001226695
"Gruiformes","Respiration",0.007384796
"Small Shorebirds","Respiration",0.002260204
"Gulls & Terns","Respiration",0.006878421
"Kingfisher","Respiration",8.239404e-05
"Crocodiles","Respiration",0.001491191
"Loggerhead Turtle","Respiration",0.0006721045
"Green Turtle","Respiration",0.0003318071
"Hawksbill Turtle","Respiration",2.359473e-06
"Dolphin","Respiration",0.004324266
"Manatee","Respiration",0.003529095
"Water POC","Respiration",3.572388
"Benthic POC","Respiration",317.0636
"2um Spherical Phytoplankt","Water Flagellates",0.555688
"2um Spherical Phytoplankt","Water Cilitaes",0.04029807
"2um Spherical Phytoplankt","Acartia Tonsa",0.01889703
"2um Spherical Phytoplankt","Oithona nana",0.09212516
"2um Spherical Phytoplankt","Paracalanus",0.04375207
"2um Spherical Phytoplankt","Other Copepoda",0.1963723
"2um Spherical Phytoplankt","Other Zooplankton",0.08641115
"2um Spherical Phytoplankt","Sponges",0.008950015
"2um Spherical Phytoplankt","Echinoderma",0.003420006
"2um Spherical Phytoplankt","Bivalves",0.0599401
"2um Spherical Phytoplankt","Suspension Feeding Polych",0.03227706
"2um Spherical Phytoplankt","Other Killifish",4.700008e-05
"2um Spherical Phytoplankt","Rainwater killifish",0.0002920005
"2um Spherical Phytoplankt","Sailfin Molly",1.190002e-05
"2um Spherical Phytoplankt","DOC",0.1229222
"Synedococcus","Water Flagellates",9.663189
"Synedococcus","Water Cilitaes",0.7007607
"Synedococcus","Acartia Tonsa",0.3286118
"Synedococcus","Oithona nana",1.602014
"Synedococcus","Paracalanus",0.7608389
"Synedococcus","Other Copepoda",3.414843
"Synedococcus","Other Zooplankton",1.502649
"Synedococcus","Sponges",0.1533924
"Synedococcus","Echinoderma",0.03842609
"Synedococcus","Bivalves",0.401662
"Synedococcus","Detritivorous Gastropods",0.1101683
"Synedococcus","Detritivorous Polychaetes",0.3000637
"Synedococcus","Suspension Feeding Polych",0.2174795
"Synedococcus","Macrobenthos",0.0807962
"Synedococcus","Benthic Crustaceans",0.006175016
"Synedococcus","Detritivorous Amphipods",0.01839004
"Synedococcus","Pink Shrimp",0.1039583
"Synedococcus","Detritivorous Crabs",0.004321011
"Synedococcus","Sailfin Molly",0.000393001
"Synedococcus","Pinfish",0.007611019
"Synedococcus","Parrotfish",0.0001120003
"Synedococcus","Mullet",0.004809012
"Synedococcus","DOC",2.51464
"Oscillatoria","Acartia Tonsa",0.003189014
"Oscillatoria","Oithona nana",0.01554807
"Oscillatoria","Paracalanus",0.007384032
"Oscillatoria","Other Zooplankton",0.01458406
"Oscillatoria","Echinoderma",6.190027e-05
"Oscillatoria","Sailfin Molly",2.510011e-06
"Oscillatoria","Pinfish",9.730043e-06
"Oscillatoria","Parrotfish",8.560037e-07
"Oscillatoria","Mullet",6.150027e-06
"Oscillatoria","DOC",0.1526747
"Small Diatoms (<20um)","Water Flagellates",5.437962
"Small Diatoms (<20um)","Water Cilitaes",0.3943529
"Small Diatoms (<20um)","Acartia Tonsa",0.1849264
"Small Diatoms (<20um)","Oithona nana",0.9015341
"Small Diatoms (<20um)","Paracalanus",0.428162
"Small Diatoms (<20um)","Other Copepoda",1.921705
"Small Diatoms (<20um)","Other Zooplankton",0.845616
"Small Diatoms (<20um)","Sponges",0.08084419
"Small Diatoms (<20um)","Coral",0.001746004
"Small Diatoms (<20um)","Bivalves",0.2291795
"Small Diatoms (<20um)","Suspension Feeding Polych",0.1240743
"Small Diatoms (<20um)","DOC",1.793997
"Big Diatoms (>20um)","Water Cilitaes",0.3928385
"Big Diatoms (>20um)","Acartia Tonsa",0.1842162
"Big Diatoms (>20um)","Oithona nana",0.8980711
"Big Diatoms (>20um)","Paracalanus",0.4265175
"Big Diatoms (>20um)","Other Zooplankton",0.8423679
"Big Diatoms (>20um)","Sponges",0.04453605
"Big Diatoms (>20um)","Coral",0.002646003
"Big Diatoms (>20um)","Bivalves",0.1291271
"Big Diatoms (>20um)","Suspension Feeding Polych",0.06989308
"Big Diatoms (>20um)","Pink Shrimp",0.0913661
"Big Diatoms (>20um)","Other Killifish",7.120008e-05
"Big Diatoms (>20um)","Rainwater killifish",0.0004430005
"Big Diatoms (>20um)","Sailfin Molly",1.800002e-05
"Big Diatoms (>20um)","DOC",9.214587
"Dinoflagellates","Water Cilitaes",0.01244305
"Dinoflagellates","Acartia Tonsa",0.005835021
"Dinoflagellates","Oithona nana",0.0284451
"Dinoflagellates","Paracalanus",0.01350905
"Dinoflagellates","Meroplankton",0.0278671
"Dinoflagellates","Other Zooplankton",0.0266811
