"Faction","name","label","color"
1,"Mr Hi",1,1
1,"Actor 2",2,1
1,"Actor 3",3,1
1,"Actor 4",4,1
1,"Actor 5",5,1
1,"Actor 6",6,1
1,"Actor 7",7,1
1,"Actor 8",8,1
2,"Actor 9",9,2
2,"Actor 10",10,2
1,"Actor 11",11,1
1,"Actor 12",12,1
1,"Actor 13",13,1
1,"Actor 14",14,1
2,"Actor 15",15,2
2,"Actor 16",16,2
1,"Actor 17",17,1
1,"Actor 18",18,1
2,"Actor 19",19,2
1,"Actor 20",20,1
2,"Actor 21",21,2
1,"Actor 22",22,1
2,"Actor 23",23,2
2,"Actor 24",24,2
2,"Actor 25",25,2
2,"Actor 26",26,2
2,"Actor 27",27,2
2,"Actor 28",28,2
2,"Actor 29",29,2
2,"Actor 30",30,2
2,"Actor 31",31,2
2,"Actor 32",32,2
2,"Actor 33",33,2
2,"John A",0,2
