"id","label","value","source"
1,"100monkeystyping.com",0,"Blogarama"
2,"12thharmonic.com/wordpress",0,"BlogCatalog"
3,"40ozblog.blogspot.com",0,"Blogarama,BlogCatalog"
4,"4lina.tblog.com",0,"Blogarama"
5,"750volts.blogspot.com",0,"Blogarama"
6,"95theses.blogspot.com",0,"Blogarama"
7,"abbadabbaduo.blogspot.com",0,"Blogarama,LeftyDirectory"
8,"aboutpolitics.blogspot.com",0,"Blogarama,eTalkingHead"
9,"achingandspinning.blogspot.com",0,"Blogarama"
10,"ackackack.com",0,"BlogCatalog"
11,"adamtalib.blogspot.com",0,"Blogarama"
12,"adviceforlefty.blogspot.com",0,"Blogarama,BlogCatalog,CampaignLine"
13,"agonist.org",0,"LeftyDirectory"
14,"aintnobaddude.com",0,"LeftyDirectory,CampaignLine"
15,"ajbenjaminjr.blogspot.com",0,"LabeledManually"
16,"alicublog.blogspot.com",0,"LeftyDirectory"
17,"allanjenkins.typepad.com",0,"BlogCatalog"
18,"allspinzone.blogspot.com",0,"Blogarama"
19,"alphapredator.com/wdtgw.htm",0,"Blogarama"
20,"alternateworlds.blogspot.com",0,"Blogarama"
21,"althippo.blogspot.com",0,"Blogarama"
22,"alvintostig.typepad.com",0,"eTalkingHead"
23,"americablog.blogspot.com",0,"LabeledManually"
24,"americablog.org",0,"eTalkingHead,CampaignLine"
25,"americandreamslost.blogspot.com",0,"Blogarama"
26,"americanmuslim.blogs.com",0,"Blogarama"
27,"americanpolitics.com",0,"CampaignLine"
28,"americansforbayh.blogspot.com",0,"Blogarama,CampaignLine"
29,"amleft.blogspot.com",0,"LeftyDirectory,LabeledManually"
30,"amliberal.com/blog",0,"Blogarama,BlogCatalog,eTalkingHead"
31,"amptoons.com/blog",0,"LeftyDirectory"
32,"anarchyxero.robfindlay.org",0,"Blogarama"
33,"andifeelfine.blogspot.com",0,"BlogCatalog"
34,"andymatic.com",0,"Blogarama"
35,"angrybear.blogspot.com",0,"LabeledManually"
36,"angrydesi.typepad.com",0,"eTalkingHead"
37,"angryfinger.org",0,"CampaignLine"
38,"angryhomo.blogspot.com",0,"Blogarama"
39,"annatopia.com/home.html",0,"LeftyDirectory"
40,"anoldsoul.blogspot.com",0,"LeftyDirectory"
41,"anonymoussources.blogspot.com",0,"Blogarama,LeftyDirectory"
42,"answerguy.blogspot.com",0,"Blogarama"
43,"anybodybutbushyall.blogspot.com",0,"Blogarama"
44,"anywhichway.net",0,"Blogarama"
45,"arancaytar.blogspot.com",0,"BlogCatalog,eTalkingHead"
46,"archpundit.com",0,"BlogPulse"
47,"arkansastonight.com",0,"Blogarama"
48,"asian-nation.org/headlines/index.php",0,"BlogCatalog"
49,"asiegeofherons.blogspot.com",0,"Blogarama"
50,"asilentrevolution.blogspot.com",0,"BlogCatalog"
51,"askhoudari.blogspot.com",0,"Blogarama"
52,"astroturf.uni.cc",0,"BlogCatalog"
53,"atease.blogspot.com",0,"Blogarama"
54,"atomicairship.com",0,"Blogarama,eTalkingHead"
55,"atrios.blogspot.com",0,"BlogPulse,LeftyDirectory,CampaignLine"
56,"atrios.blogspot.com/ ",0,"LabeledManually"
57,"aurelientt.blogspot.com",0,"Blogarama"
58,"awards5.tripod.com/tarasblog",0,"BlogCatalog"
59,"b-patton.blogspot.com",0,"Blogarama"
60,"babylon.squarespace.com",0,"Blogarama"
61,"badattitudes.com/mt",0,"LeftyDirectory"
62,"bakshi.us/redskunk",0,"Blogarama"
63,"barcidhomily.com",0,"CampaignLine"
64,"barkingdingo.blogspot.com",0,"Blogarama,eTalkingHead"
65,"bartcop.com",0,"CampaignLine"
66,"battleground-wisconsin.blogspot.com",0,"Blogarama,LabeledManually"
67,"battlegroundstates.blogspot.com",0,"Blogarama"
68,"beastsbelly.blogspot.com",0,"eTalkingHead"
69,"bentcorner.blogspot.com",0,"BlogCatalog"
70,"bettyblog.com",0,"CampaignLine"
71,"bigbloosky.blogspot.com",0,"BlogCatalog"
72,"billmon.org",0,"LeftyDirectory"
73,"billsrants.blogspot.com",0,"Blogarama"
74,"blackwingleftbird.blogspot.com",0,"Blogarama"
75,"blog.dccc.org",0,"LabeledManually"
76,"blog.dennisfox.net",0,"eTalkingHead"
77,"blog.glinka.com",0,"Blogarama"
78,"blog.johnkerry.com",0,"BlogPulse,CampaignLine"
79,"blog.kenlan.net",0,"Blogarama"
80,"blog.mintruth.com",0,"Blogarama"
81,"blog.veggiedude.com",0,"Blogarama"
82,"blog01.kintera.com/dnccblog",0,"CampaignLine"
83,"blog01.kintera.com/emilysblog",0,"CampaignLine"
84,"bloganonymous.com",0,"CampaignLine"
85,"blogforamerica.com",0,"BlogPulse,LabeledManually,CampaignLine"
86,"blogforarizona.com",0,"LeftyDirectory,eTalkingHead"
87,"blogfreeordie.blogspot.com",0,"Blogarama"
88,"blogitics.com",0,"eTalkingHead"
89,"blogs.salon.com/0002874",0,"LeftyDirectory"
90,"blogs.salon.com/0003364",0,"Blogarama"
91,"blogs.salon.com/0004024",0,"Blogarama"
92,"blogslut.com",0,"eTalkingHead"
93,"blosteam.blogspot.com",0,"Blogarama"
94,"blotts.org/polilog",0,"Blogarama"
95,"bluegrassroots.blogspot.com",0,"Blogarama"
96,"bluelemur.com",0,"LeftyDirectory"
97,"blueoregon.com",0,"CampaignLine"
98,"bluestateredstate.blogspot.com",0,"BlogCatalog"
99,"bodyandsoul.typepad.com",0,"LeftyDirectory,LabeledManually"
100,"boffo.typepad.com",0,"Blogarama"
101,"boloboffin.blogspot.com",0,"Blogarama"
102,"bopnews.com",0,"BlogPulse,CampaignLine"
103,"boston.com/news/blogs/dnc",0,"CampaignLine"
104,"bowles2004.com/weblog",0,"CampaignLine"
105,"boycottsbg.com",0,"LabeledManually"
106,"bradcarson.com/blog",0,"CampaignLine"
107,"bradfriedman.com/bradblog",0,"CampaignLine"
108,"brianhull.net",0,"Blogarama"
109,"brilliantatbreakfast.blogspot.com",0,"Blogarama"
110,"browncross.com/usualsuspects",0,"Blogarama"
111,"brunon.blogspot.com ",0,"LabeledManually"
112,"bryan08.tk",0,"Blogarama"
113,"btcnews.com/btcnews",0,"Blogarama,LeftyDirectory"
114,"bullmooseblog.com",0,"LabeledManually,CampaignLine"
115,"burntorangereport.com",0,"BlogPulse,CampaignLine"
116,"bushlies.net/pages/10/index.htm",0,"CampaignLine"
117,"bushmisunderestimated.blogspot.com",0,"CampaignLine"
118,"busybusybusy.com",0,"LeftyDirectory"
119,"buzzmachine.com",0,"BlogPulse,LeftyDirectory"
120,"cadat.nl",0,"Blogarama"
121,"carpetblogger.com",0,"Blogarama"
122,"catchingsmoke.blogspot.com",0,"Blogarama"
123,"cbaker.org/blog",0,"Blogarama"
124,"cemonitor.blogspot.com",0,"Blogarama"
125,"centerpiece.blogspot.com",0,"Blogarama"
126,"chak.org/blog",0,"Blogarama"
127,"changeforamerica.com/blog",0,"CampaignLine"
128,"charleypatton.blogspot.com",0,"BlogCatalog,eTalkingHead"
129,"charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48",0,"Blogarama"
130,"chepooka.com",0,"Blogarama,eTalkingHead"
131,"chestnut_tree.blogspot.com",0,"Blogarama"
132,"chiron.typepad.com",0,"Blogarama"
133,"churchofcriticalthinking.com",0,"Blogarama"
134,"civicactions.com",0,"Blogarama"
135,"cjh9999.blog-city.com",0,"Blogarama"
136,"clarified.blogspot.com",0,"LeftyDirectory,eTalkingHead"
137,"claudialong.com/blog",0,"eTalkingHead"
138,"cleancutkid.com",0,"Blogarama"
139,"cnle.net",0,"BlogCatalog"
140,"collegedems.com/blog",0,"CampaignLine"
141,"conniptions.net",0,"Blogarama"
142,"conservativessuck.blogspot.com",0,"Blogarama,LeftyDirectory"
143,"contrapositive.blogspot.com",0,"eTalkingHead"
144,"corrente.blogspot.com",0,"LabeledManually"
145,"counterspin.blogspot.com",0,"BlogPulse,LeftyDirectory"
146,"courtney5.us/drew",0,"Blogarama"
147,"crankylittleblog.blogspot.com",0,"Blogarama"
148,"crapiscommon.blogspot.com",0,"Blogarama,BlogCatalog"
149,"criticalviewer.com",0,"Blogarama"
150,"crookedtimber.org",0,"LeftyDirectory"
151,"crooksandliars.com",0,"Blogarama"
152,"dailyblatt.blogspot.com",0,"Blogarama"
153,"dailyblurb.blogspot.com",0,"Blogarama,BlogCatalog"
154,"dailyhowler.com",0,"LeftyDirectory"
155,"dailykos.com",0,"LeftyDirectory,LabeledManually,CampaignLine"
156,"dailywarnews.blogspot.com",0,"LabeledManually"
157,"damntheman.net",0,"CampaignLine"
158,"dashnier.blogspot.com",0,"BlogCatalog"
159,"davidsirota.com",0,"LeftyDirectory"
160,"dawnofnewamerica.blogspot.com",0,"BlogCatalog"
161,"deanocrats.com",0,"Blogarama"
162,"deathpenaltyusa.blogspot.com",0,"LeftyDirectory,eTalkingHead"
163,"debunker.net",0,"Blogarama"
164,"decksitters.my-expressions.com",0,"BlogCatalog"
165,"dedspace.blogspot.com",0,"Blogarama"
166,"delraysteve.com/blog",0,"Blogarama"
167,"demagogue.blogspot.com",0,"LeftyDirectory,eTalkingHead"
168,"demleft.blogspot.com",0,"LeftyDirectory,LabeledManually"
