id,account,video,play_date,play_duration
1,579,27754,2019-02-27,1301
2,309,29741,2018-10-12,6924
3,276,20561,2019-04-07,9348
4,582,6883,2018-10-19,8987
5,737,44220,2019-07-21,8480
6,483,54658,2019-07-23,5866
7,623,32726,2018-10-20,33
8,407,43025,2019-06-12,2276
9,450,25317,2019-03-05,728
10,574,30552,2018-09-22,2497
11,636,46139,2019-04-19,5575
12,412,63657,2019-07-31,2099
13,715,8332,2019-02-02,481
14,19,16371,2019-04-26,6917
15,897,27350,2018-10-07,2109
16,648,25486,2018-10-14,3137
17,581,25276,2019-09-04,1269
18,312,43583,2019-04-05,6222
19,789,12253,2019-05-21,3649
20,529,10238,2019-07-25,5100
21,869,53959,2019-04-16,570
22,264,37043,2019-02-19,1532
23,718,53227,2019-08-19,7822
24,841,53699,2019-07-20,8443
25,337,2212,2019-08-06,9923
26,463,59223,2019-04-24,8864
27,616,22509,2019-08-26,6250
28,101,11924,2019-05-29,8567
29,18,24823,2019-08-26,10235
30,820,55026,2018-11-22,10329
31,758,55098,2019-01-16,7995
32,763,15888,2018-10-29,1260
33,723,47834,2019-05-05,6807
34,798,16687,2019-07-28,8517
35,140,14868,2019-03-23,264
36,259,47576,2019-03-31,10103
37,392,31204,2018-11-02,253
38,834,30214,2018-11-04,6627
39,667,14247,2019-01-10,2258
40,580,34325,2018-12-27,6037
41,523,6623,2019-01-06,3208
42,270,54437,2018-12-15,3726
43,612,29189,2019-09-04,1657
44,811,15835,2018-10-30,5141
45,220,23244,2018-12-17,153
46,854,45591,2018-09-14,156
47,109,36128,2019-07-31,1518
48,642,38005,2019-03-05,6799
49,431,54068,2019-05-25,3550
50,650,42929,2019-04-04,10535
51,622,25873,2019-07-14,1872
52,843,60644,2018-12-01,8601
53,742,20563,2018-11-25,9319
54,582,29294,2019-04-18,4807
55,37,33336,2018-12-05,3231
56,898,26959,2019-03-06,9736
57,76,22561,2018-12-20,4333
58,270,47099,2018-12-06,6084
59,537,51583,2018-12-20,7627
60,377,53358,2019-06-26,1103
61,488,48270,2019-05-24,7054
62,440,21125,2018-10-04,9844
63,837,6247,2018-10-24,8003
64,337,59042,2019-03-19,9116
65,684,42097,2019-04-04,8706
66,399,57767,2018-09-28,1677
67,94,34822,2019-01-15,1250
68,273,63355,2019-02-22,2132
69,749,51333,2018-09-08,6473
70,271,39404,2019-02-11,7620
71,467,7922,2019-07-17,3776
72,130,61759,2019-03-11,1362
73,695,22836,2018-10-03,3584
74,23,8320,2019-03-28,7223
75,31,40407,2019-07-31,1935
76,828,14129,2019-07-24,2458
77,673,46718,2018-10-20,7775
78,79,48100,2019-02-10,4774
79,632,16774,2018-09-16,3190
80,587,43130,2018-09-12,792
81,31,21352,2019-07-24,8938
82,819,24648,2018-12-26,3355
83,871,5392,2019-03-14,95
84,507,36462,2018-10-04,7943
85,231,33080,2019-03-02,2295
86,76,19888,2019-04-09,5481
87,301,36890,2018-10-21,8792
88,322,8257,2018-10-15,6842
89,375,21796,2019-05-09,7059
90,182,57013,2018-09-15,7065
91,51,56962,2019-04-06,3595
92,511,25248,2019-02-09,2856
93,498,10392,2019-07-30,5845
94,119,62775,2018-09-26,2035
95,559,62467,2019-07-11,4474
96,503,27,2019-02-15,8619
97,147,13960,2019-01-14,10028
98,338,19138,2019-05-18,959
99,591,51282,2019-01-28,6555
100,674,10931,2019-04-23,6703
101,645,28256,2019-03-26,797
