Zip Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
90001,Los Angeles,California,CA,Los Angeles,33.9731,-118.2479
90002,Los Angeles,California,CA,Los Angeles,33.9497,-118.2462
90003,Los Angeles,California,CA,Los Angeles,33.9653,-118.2727
90004,Los Angeles,California,CA,Los Angeles,34.0762,-118.3029
90005,Los Angeles,California,CA,Los Angeles,34.0585,-118.3012
90006,Los Angeles,California,CA,Los Angeles,34.0493,-118.2917
90007,Los Angeles,California,CA,Los Angeles,34.0294,-118.2871
90008,Los Angeles,California,CA,Los Angeles,34.0116,-118.3411
90009,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90010,Los Angeles,California,CA,Los Angeles,34.0606,-118.3027
90011,Los Angeles,California,CA,Los Angeles,34.0079,-118.2582
90012,Los Angeles,California,CA,Los Angeles,34.0614,-118.2385
90013,Los Angeles,California,CA,Los Angeles,34.0448,-118.2434
90014,Los Angeles,California,CA,Los Angeles,34.0443,-118.2509
90015,Los Angeles,California,CA,Los Angeles,34.0434,-118.2716
90016,Los Angeles,California,CA,Los Angeles,34.0298,-118.3528
90017,Los Angeles,California,CA,Los Angeles,34.0559,-118.2666
90018,Los Angeles,California,CA,Los Angeles,34.029,-118.3152
90019,Los Angeles,California,CA,Los Angeles,34.0482,-118.3343
90020,Los Angeles,California,CA,Los Angeles,34.0665,-118.3022
90021,Los Angeles,California,CA,Los Angeles,34.0333,-118.2447
90022,Los Angeles,California,CA,Los Angeles,34.0245,-118.1561
90023,Los Angeles,California,CA,Los Angeles,34.0245,-118.1975
90024,Los Angeles,California,CA,Los Angeles,34.0637,-118.4408
90025,Los Angeles,California,CA,Los Angeles,34.0447,-118.4487
90026,Los Angeles,California,CA,Los Angeles,34.0766,-118.2646
90027,Los Angeles,California,CA,Los Angeles,34.104,-118.2925
90028,Los Angeles,California,CA,Los Angeles,34.1005,-118.3254
90029,Los Angeles,California,CA,Los Angeles,34.09,-118.2944
90030,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90031,Los Angeles,California,CA,Los Angeles,34.0783,-118.2113
90032,Los Angeles,California,CA,Los Angeles,34.0818,-118.1753
90033,Los Angeles,California,CA,Los Angeles,34.0487,-118.2084
90034,Los Angeles,California,CA,Los Angeles,34.029,-118.4005
90035,Los Angeles,California,CA,Los Angeles,34.0531,-118.3806
90036,Los Angeles,California,CA,Los Angeles,34.0699,-118.3492
90037,Los Angeles,California,CA,Los Angeles,34.003,-118.2863
90038,Los Angeles,California,CA,Los Angeles,34.0898,-118.3215
90039,Los Angeles,California,CA,Los Angeles,34.1121,-118.2594
90040,Los Angeles,California,CA,Los Angeles,33.9909,-118.1532
90041,Los Angeles,California,CA,Los Angeles,34.1339,-118.2082
90042,Los Angeles,California,CA,Los Angeles,34.1145,-118.1929
90043,Los Angeles,California,CA,Los Angeles,33.9871,-118.3321
90044,Los Angeles,California,CA,Los Angeles,33.9551,-118.2901
90045,Los Angeles,California,CA,Los Angeles,33.9631,-118.3941
90046,Los Angeles,California,CA,Los Angeles,34.1074,-118.3652
90047,Los Angeles,California,CA,Los Angeles,33.9569,-118.3073
90048,Los Angeles,California,CA,Los Angeles,34.0737,-118.372
90049,Los Angeles,California,CA,Los Angeles,34.066,-118.474
90050,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90051,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90052,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90053,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90054,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90055,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90056,Los Angeles,California,CA,Los Angeles,33.9853,-118.3707
90057,Los Angeles,California,CA,Los Angeles,34.0622,-118.2763
90058,Los Angeles,California,CA,Los Angeles,33.9994,-118.2133
90059,Los Angeles,California,CA,Los Angeles,33.9293,-118.2463
90060,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90061,Los Angeles,California,CA,Los Angeles,33.9245,-118.2716
90062,Los Angeles,California,CA,Los Angeles,34.0032,-118.3073
90063,Los Angeles,California,CA,Los Angeles,34.0451,-118.1859
90064,Los Angeles,California,CA,Los Angeles,34.0353,-118.4259
90065,Los Angeles,California,CA,Los Angeles,34.1073,-118.2266
90066,Los Angeles,California,CA,Los Angeles,34.003,-118.4298
90067,Los Angeles,California,CA,Los Angeles,34.0551,-118.4095
90068,Los Angeles,California,CA,Los Angeles,34.1156,-118.3305
90069,West Hollywood,California,CA,Los Angeles,34.0906,-118.3788
90070,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90071,Los Angeles,California,CA,Los Angeles,34.0529,-118.2549
90072,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90073,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90074,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90075,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90076,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90077,Los Angeles,California,CA,Los Angeles,34.1112,-118.4502
90078,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90079,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90080,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90081,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90082,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90083,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90084,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90086,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90087,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90088,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90089,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90090,Dodgertown,California,CA,Los Angeles,34.0725,-118.2418
90091,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90093,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90094,Playa Vista,California,CA,Los Angeles,33.9728,-118.4276
90095,Los Angeles,California,CA,Los Angeles,33.7866,-118.2987
90096,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90099,Los Angeles,California,CA,Los Angeles,34.0522,-118.2437
90189,Los Angeles,California,CA,Los Angeles,34.0515,-118.2559
90201,Bell Gardens,California,CA,Los Angeles,33.9653,-118.1515
90202,Bell,California,CA,Los Angeles,33.9775,-118.187
90209,Beverly Hills,California,CA,Los Angeles,34.0736,-118.4004
90210,Beverly Hills,California,CA,Los Angeles,34.0901,-118.4065
90211,Beverly Hills,California,CA,Los Angeles,34.0652,-118.383
90212,Beverly Hills,California,CA,Los Angeles,34.0619,-118.3995
90213,Beverly Hills,California,CA,Los Angeles,34.0736,-118.4004
90220,Compton,California,CA,Los Angeles,33.8748,-118.2402
90221,Compton,California,CA,Los Angeles,33.8796,-118.2168
90222,Compton,California,CA,Los Angeles,33.9099,-118.2357
90223,Compton,California,CA,Los Angeles,33.8958,-118.2201
90224,Compton,California,CA,Los Angeles,33.7866,-118.2987
90230,Culver City,California,CA,Los Angeles,33.9949,-118.3991
90231,Culver City,California,CA,Los Angeles,34.0211,-118.3965
90232,Culver City,California,CA,Los Angeles,34.0168,-118.3973
90233,Culver City,California,CA,Los Angeles,34.0211,-118.3965
90239,Downey,California,CA,Los Angeles,33.94,-118.1326
90240,Downey,California,CA,Los Angeles,33.9581,-118.1174
90241,Downey,California,CA,Los Angeles,33.9416,-118.1306
90242,Downey,California,CA,Los Angeles,33.9218,-118.1395
90245,El Segundo,California,CA,Los Angeles,33.9243,-118.4119
90247,Gardena,California,CA,Los Angeles,33.8925,-118.2961
90248,Gardena,California,CA,Los Angeles,33.8766,-118.2835
90249,Gardena,California,CA,Los Angeles,33.8998,-118.3199
90250,Hawthorne,California,CA,Los Angeles,33.9143,-118.3493
90251,Hawthorne,California,CA,Los Angeles,33.9164,-118.3526
90254,Hermosa Beach,California,CA,Los Angeles,33.8643,-118.3955
90255,Huntington Park,California,CA,Los Angeles,33.9769,-118.2161
90260,Lawndale,California,CA,Los Angeles,33.8879,-118.351
90261,Lawndale,California,CA,Los Angeles,33.8872,-118.3526
90262,Lynwood,California,CA,Los Angeles,33.9241,-118.2013
90263,Malibu,California,CA,Los Angeles,34.005,-118.8101
90264,Malibu,California,CA,Los Angeles,34.005,-118.8101
90265,Malibu,California,CA,Los Angeles,34.0402,-118.7351
90266,Manhattan Beach,California,CA,Los Angeles,33.8896,-118.3996
90267,Manhattan Beach,California,CA,Los Angeles,33.7866,-118.2987
90270,Maywood,California,CA,Los Angeles,33.989,-118.1877
90272,Pacific Palisades,California,CA,Los Angeles,34.0481,-118.5265
90274,Palos Verdes Peninsula,California,CA,Los Angeles,33.7866,-118.2987
90275,Rancho Palos Verdes,California,CA,Los Angeles,33.7515,-118.367
90277,Redondo Beach,California,CA,Los Angeles,33.8307,-118.3832
90278,Redondo Beach,California,CA,Los Angeles,33.8707,-118.3715
90280,South Gate,California,CA,Los Angeles,33.9462,-118.2013
90290,Topanga,California,CA,Los Angeles,34.1076,-118.6023
90291,Venice,California,CA,Los Angeles,33.9938,-118.4635
90292,Marina Del Rey,California,CA,Los Angeles,33.9779,-118.4525
90293,Playa Del Rey,California,CA,Los Angeles,33.9577,-118.4373
90294,Venice,California,CA,Los Angeles,33.9908,-118.4601
90295,Marina Del Rey,California,CA,Los Angeles,33.7866,-118.2987
90296,Playa Del Rey,California,CA,Los Angeles,33.7866,-118.2987
90301,Inglewood,California,CA,Los Angeles,33.955,-118.3556
90302,Inglewood,California,CA,Los Angeles,33.9745,-118.3548
90303,Inglewood,California,CA,Los Angeles,33.9377,-118.3321
90304,Inglewood,California,CA,Los Angeles,33.9379,-118.3586
90305,Inglewood,California,CA,Los Angeles,33.9583,-118.3259
90306,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90307,Inglewood,California,CA,Los Angeles,33.7866,-118.2987
90308,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90309,Inglewood,California,CA,Los Angeles,33.7866,-118.2987
90310,Inglewood,California,CA,Los Angeles,33.7866,-118.2987
90311,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90312,Inglewood,California,CA,Los Angeles,33.9617,-118.3531
90401,Santa Monica,California,CA,Los Angeles,34.0176,-118.4907
90402,Santa Monica,California,CA,Los Angeles,34.0349,-118.503
90403,Santa Monica,California,CA,Los Angeles,34.0287,-118.4924
90404,Santa Monica,California,CA,Los Angeles,34.0268,-118.4733
90405,Santa Monica,California,CA,Los Angeles,34.01,-118.4717
90406,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90407,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90408,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90409,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90410,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90411,Santa Monica,California,CA,Los Angeles,34.0195,-118.4912
90501,Torrance,California,CA,Los Angeles,33.8268,-118.3118
90502,Torrance,California,CA,Los Angeles,33.8286,-118.292
90503,Torrance,California,CA,Los Angeles,33.8397,-118.3542
90504,Torrance,California,CA,Los Angeles,33.8708,-118.3295
90505,Torrance,California,CA,Los Angeles,33.8106,-118.3507
90506,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90507,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90508,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90509,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90510,Torrance,California,CA,Los Angeles,33.7866,-118.2987
90601,Whittier,California,CA,Los Angeles,34.0011,-118.0371
90602,Whittier,California,CA,Los Angeles,33.9693,-118.0337
90603,Whittier,California,CA,Los Angeles,33.9432,-117.9927
90604,Whittier,California,CA,Los Angeles,33.9299,-118.0121
90605,Whittier,California,CA,Los Angeles,33.9413,-118.0356
90606,Whittier,California,CA,Los Angeles,33.9777,-118.0658
90607,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90608,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90609,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90610,Whittier,California,CA,Los Angeles,33.9792,-118.0328
90620,Buena Park,California,CA,Orange,33.8439,-118.008
90621,Buena Park,California,CA,Orange,33.8772,-117.9893
90622,Buena Park,California,CA,Orange,33.8462,-118.0031
90623,La Palma,California,CA,Orange,33.8491,-118.0398
90624,Buena Park,California,CA,Orange,33.8584,-118.0033
90630,Cypress,California,CA,Orange,33.8181,-118.0357
90631,La Habra,California,CA,Orange,33.9331,-117.9493
90632,La Habra,California,CA,Orange,33.9143,-117.9547
90633,La Habra,California,CA,Orange,33.9345,-117.9452
90637,La Mirada,California,CA,Los Angeles,33.9172,-118.012
90638,La Mirada,California,CA,Los Angeles,33.9067,-118.0101
90639,La Mirada,California,CA,Los Angeles,33.9058,-118.0182
90640,Montebello,California,CA,Los Angeles,34.0133,-118.113
90650,Norwalk,California,CA,Los Angeles,33.9056,-118.0818
90651,Norwalk,California,CA,Los Angeles,33.9022,-118.0817
90652,Norwalk,California,CA,Los Angeles,33.9022,-118.0817
90660,Pico Rivera,California,CA,Los Angeles,33.9886,-118.0883
90661,Pico Rivera,California,CA,Los Angeles,33.9831,-118.0967
90662,Pico Rivera,California,CA,Los Angeles,33.9831,-118.0967
90670,Santa Fe Springs,California,CA,Los Angeles,33.9464,-118.0838
90671,Santa Fe Springs,California,CA,Los Angeles,33.9472,-118.0853
90680,Stanton,California,CA,Orange,33.7991,-117.9956
90701,Artesia,California,CA,Los Angeles,33.8654,-118.0731
90702,Artesia,California,CA,Los Angeles,33.8658,-118.0831
90703,Cerritos,California,CA,Los Angeles,33.8669,-118.0686
90704,Avalon,California,CA,Los Angeles,33.332,-118.3437
90706,Bellflower,California,CA,Los Angeles,33.8867,-118.1265
90707,Bellflower,California,CA,Los Angeles,33.8817,-118.117
90710,Harbor City,California,CA,Los Angeles,33.797,-118.2991
90711,Lakewood,California,CA,Los Angeles,33.7866,-118.2987
90712,Lakewood,California,CA,Los Angeles,33.8512,-118.1457
90713,Lakewood,California,CA,Los Angeles,33.8473,-118.1115
90714,Lakewood,California,CA,Los Angeles,33.8512,-118.1339
90715,Lakewood,California,CA,Los Angeles,33.8405,-118.0767
90716,Hawaiian Gardens,California,CA,Los Angeles,33.8296,-118.073
90717,Lomita,California,CA,Los Angeles,33.7938,-118.3172
90720,Los Alamitos,California,CA,Orange,33.7956,-118.0648
90721,Los Alamitos,California,CA,Orange,33.8023,-118.069
90723,Paramount,California,CA,Los Angeles,33.8969,-118.1632
90731,San Pedro,California,CA,Los Angeles,33.7339,-118.2914
90732,San Pedro,California,CA,Los Angeles,33.742,-118.3121
90733,San Pedro,California,CA,Los Angeles,33.7866,-118.2987
90734,San Pedro,California,CA,Los Angeles,33.7866,-118.2987
90740,Seal Beach,California,CA,Orange,33.7602,-118.0808
90742,Sunset Beach,California,CA,Orange,33.7164,-118.069
90743,Surfside,California,CA,Orange,33.7264,-118.0833
90744,Wilmington,California,CA,Los Angeles,33.7855,-118.2645
90745,Carson,California,CA,Los Angeles,33.823,-118.2684
90746,Carson,California,CA,Los Angeles,33.8584,-118.2554
90747,Carson,California,CA,Los Angeles,33.8671,-118.2538
90748,Wilmington,California,CA,Los Angeles,33.78,-118.2626
90749,Carson,California,CA,Los Angeles,33.7866,-118.2987
90755,Signal Hill,California,CA,Los Angeles,33.8029,-118.1677
90801,Long Beach,California,CA,Los Angeles,33.767,-118.1892
90802,Long Beach,California,CA,Los Angeles,33.7706,-118.182
90803,Long Beach,California,CA,Los Angeles,33.7619,-118.1341
90804,Long Beach,California,CA,Los Angeles,33.7857,-118.1357
90805,Long Beach,California,CA,Los Angeles,33.8635,-118.1801
90806,Long Beach,California,CA,Los Angeles,33.8045,-118.1876
90807,Long Beach,California,CA,Los Angeles,33.8315,-118.1811
90808,Long Beach,California,CA,Los Angeles,33.8241,-118.1103
90809,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90810,Long Beach,California,CA,Los Angeles,33.8193,-118.2325
90813,Long Beach,California,CA,Los Angeles,33.782,-118.1835
90814,Long Beach,California,CA,Los Angeles,33.7716,-118.148
90815,Long Beach,California,CA,Los Angeles,33.7939,-118.1192
90822,Long Beach,California,CA,Los Angeles,33.7927,-118.1638
90831,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90832,Long Beach,California,CA,Los Angeles,33.767,-118.1892
90833,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90834,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90835,Long Beach,California,CA,Los Angeles,33.7678,-118.1994
90840,Long Beach,California,CA,Los Angeles,33.7843,-118.1157
90842,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90844,Long Beach,California,CA,Los Angeles,33.767,-118.1892
90846,Long Beach,California,CA,Los Angeles,33.8249,-118.1504
90847,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90848,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90853,Long Beach,California,CA,Los Angeles,33.7866,-118.2987
90895,Carson,California,CA,Los Angeles,33.8392,-118.2202
90899,Long Beach,California,CA,Los Angeles,33.767,-118.1892
91001,Altadena,California,CA,Los Angeles,34.1912,-118.1392
91003,Altadena,California,CA,Los Angeles,34.1897,-118.1312
91006,Arcadia,California,CA,Los Angeles,34.1324,-118.0264
91007,Arcadia,California,CA,Los Angeles,34.1243,-118.0515
91008,Duarte,California,CA,Los Angeles,34.149,-117.9644
91009,Duarte,California,CA,Los Angeles,34.1395,-117.9773
91010,Duarte,California,CA,Los Angeles,34.1407,-117.9567
91011,La Canada Flintridge,California,CA,Los Angeles,34.2217,-118.2051
91012,La Canada Flintridge,California,CA,Los Angeles,34.1992,-118.1879
91016,Monrovia,California,CA,Los Angeles,34.144,-118.0014
91017,Monrovia,California,CA,Los Angeles,34.1481,-117.999
91020,Montrose,California,CA,Los Angeles,34.2114,-118.2305
91021,Montrose,California,CA,Los Angeles,34.2064,-118.2242
91023,Mount Wilson,California,CA,Los Angeles,34.2264,-118.0662
91024,Sierra Madre,California,CA,Los Angeles,34.1651,-118.0519
