v_hid_id,v_out_id,theta
26,1,-4.379614e-01
1,1,3.371221e-01
2,1,-5.735622e-01
3,1,5.316399e-01
4,1,9.570563e-01
5,1,-1.315287e+00
6,1,-1.657811e+00
7,1,3.096732e+00
8,1,-2.213745e+00
9,1,1.800401e-01
10,1,-1.687077e-02
11,1,-1.333809e+00
12,1,-2.541133e+00
13,1,-2.530253e+00
14,1,-2.595241e+00
15,1,1.629555e-01
16,1,-8.647992e-02
17,1,1.035321e-01
18,1,1.603539e-01
19,1,-1.412297e+00
20,1,2.024558e+00
21,1,1.665676e-01
22,1,1.056305e+00
23,1,9.375006e-01
24,1,-2.139274e+00
25,1,5.220540e-01
26,2,-1.118151e+00
1,2,1.637367e-02
2,2,6.132639e-01
3,2,-1.753949e+00
4,2,2.552970e+00
5,2,1.755827e+00
6,2,-7.885049e-01
7,2,-1.596621e+00
8,2,-1.543757e+00
9,2,1.301856e+00
10,2,-4.518294e-01
11,2,8.582357e-02
12,2,-6.158343e-01
13,2,-6.635753e-01
14,2,-6.355980e-02
15,2,-1.149360e+00
16,2,-3.332100e+00
17,2,-1.809949e+00
18,2,1.454758e+00
19,2,-1.154821e+00
20,2,-1.695033e+00
21,2,2.201565e+00
22,2,8.676350e-01
23,2,-2.171929e+00
24,2,-7.382726e-01
25,2,-2.312002e+00
26,3,-1.954135e+00
1,3,1.138386e+00
2,3,-4.727572e-01
3,3,2.175489e+00
4,3,-2.963545e+00
5,3,-3.826767e-01
6,3,-1.779890e+00
7,3,-1.177172e+00
8,3,-3.034743e+00
9,3,5.092163e-02
10,3,-1.384083e+00
11,3,1.023515e+00
12,3,1.357827e-01
13,3,-2.889047e+00
14,3,1.180849e+00
15,3,1.663865e-01
16,3,-3.406991e+00
17,3,8.203617e-01
18,3,-1.069121e+00
19,3,-1.305671e+00
20,3,-6.846664e-02
21,3,-9.402155e-01
22,3,1.539650e+00
23,3,-9.035959e-01
24,3,1.038557e+00
25,3,9.247169e-01
26,4,-1.505826e+00
1,4,-2.224657e+00
2,4,-1.397765e+00
3,4,-6.960466e-01
4,4,-1.362568e+00
5,4,2.694598e+00
6,4,1.617626e-01
7,4,-1.831994e-01
8,4,8.249652e-01
9,4,-2.076391e+00
10,4,2.012172e+00
11,4,-3.603790e+00
12,4,5.612695e-01
13,4,-1.067995e+00
14,4,-2.828927e-01
15,4,2.425473e+00
16,4,7.665640e-01
17,4,-1.794614e+00
18,4,7.472796e-01
19,4,-2.562587e+00
20,4,-3.030172e-01
21,4,-1.215235e+00
22,4,8.018933e-01
23,4,-1.811572e+00
24,4,4.067003e-01
25,4,1.208765e+00
26,5,-1.215836e+00
1,5,2.706741e+00
