Kang1,kang2,weight
1,2,21
1,3,10
1,4,45
1,5,54
1,6,7
1,7,16
1,8,1
1,9,3
1,10,4
1,11,7
1,12,3
1,13,2
1,14,3
1,15,3
2,3,9
2,4,19
2,5,20
2,6,3
2,7,9
2,8,1
2,9,10
2,10,4
2,11,11
2,12,2
2,13,2
2,14,2
2,15,6
3,4,8
3,5,10
3,6,3
3,7,5
3,8,1
3,9,9
3,10,4
3,11,10
3,15,3
3,16,2
4,5,45
4,6,7
4,7,17
4,8,1
4,9,1
4,10,3
4,11,6
4,12,3
4,13,2
4,14,3
4,15,4
5,6,6
5,7,17
5,8,1
5,9,3
5,10,4
5,11,6
5,12,1
5,13,2
5,14,3
5,15,3
5,16,1
6,7,4
6,8,1
6,9,2
6,10,2
6,11,3
6,12,3
6,13,3
6,14,1
6,15,4
7,8,1
7,11,5
7,12,3
7,13,1
7,14,3
7,15,3
8,9,1
8,10,1
8,11,1
8,12,1
9,10,6
9,11,9
9,12,1
9,15,2
9,17,1
10,11,8
10,12,1
11,12,1
11,13,2
11,15,5
13,14,1
13,15,3
14,15,1
