Host,HOST_NAME,SWITCH_ID,SWITCH_NAME,STORAGE_ARRAY_ID
SL55PTDB1P11,HOSTNAME01,61847,SWITCHNAME01,61810
SL55PTDB1P12,HOSTNAME02,61847,SWITCHNAME02,61810
SL55TAASDBP10,HOSTNAME03,61847,SWITCHNAME03,61810
SL55MAPAYDB1P01,HOSTNAME04,61847,SWITCHNAME04,61810
SL55PTDB1P10,HOSTNAME05,61847,SWITCHNAME05,61810
SL55MAPAYDB1P10,HOSTNAME06,61847,SWITCHNAME06,61810
SL55PTDB1P11,HOSTNAME07,61847,SWITCHNAME07,61810
SL55MAPAYDB1P11,HOSTNAME08,61847,SWITCHNAME08,61810
SL55PTDB1P01,HOSTNAME09,61848,SWITCHNAME09,61810
SL55MAPAYDB1P10,HOSTNAME10,61848,SWITCHNAME10,61810
SL55MAPAYDB1P01,HOSTNAME11,61847,SWITCHNAME11,61810
SL55MAPAYDB1P10,HOSTNAME12,61847,SWITCHNAME12,61810
SL55AMSAPP24,HOSTNAME13,61847,SWITCHNAME13,61810
SL55RATDBP11,HOSTNAME14,61847,SWITCHNAME14,61810
SL55PTDB1P01,HOSTNAME15,61847,SWITCHNAME15,61810
SL55PTDB1P10,HOSTNAME16,61847,SWITCHNAME16,61810
SL55DLPRCD11,HOSTNAME17,61847,SWITCHNAME17,61811
SL55PTDB1P10,HOSTNAME18,61847,SWITCHNAME18,61810
SL55PTDB1P12,HOSTNAME19,61848,SWITCHNAME19,61810
SL55PTDB1P11,HOSTNAME20,61848,SWITCHNAME20,61810
SL55PTDB1P01,HOSTNAME21,61850,SWITCHNAME21,61810
SL55PTDB1P01,HOSTNAME22,61850,SWITCHNAME22,61810
SW461HDSMGTPA10,HOSTNAME23,61850,SWITCHNAME23,61811
SL55PTDB1C01,HOSTNAME24,61850,SWITCHNAME24,61810
SL55PTDB1C12,HOSTNAME25,61850,SWITCHNAME25,61810
SL55COMMDB1P10,HOSTNAME26,61850,SWITCHNAME26,61811
SW461BCRPTPA11,HOSTNAME27,61850,SWITCHNAME27,61811
CW460PCQCPS00N0,HOSTNAME28,61850,SWITCHNAME28,61811
SV461ESXEX15,HOSTNAME29,61850,SWITCHNAME29,61811
SL55RACSIP10,HOSTNAME30,61850,SWITCHNAME30,61811
SL55COMMDB1P10,HOSTNAME31,61850,SWITCHNAME31,61811
SL55RACSIP10,HOSTNAME32,61850,SWITCHNAME32,61811
SL55RACSIP11,HOSTNAME33,61850,SWITCHNAME33,61811
SL55RACSIP10,HOSTNAME34,61850,SWITCHNAME34,61811
SL55RATDBP11,HOSTNAME35,61850,SWITCHNAME35,61810
SL55COMMDB1P11,HOSTNAME36,61850,SWITCHNAME36,61811
SL55RATDBP11,HOSTNAME37,61847,SWITCHNAME37,61810
SL55PTDB1P12,HOSTNAME38,61847,SWITCHNAME38,61810
SL55COMMDB1P01,HOSTNAME39,61847,SWITCHNAME39,61811
SL55RACSIP10,HOSTNAME40,61847,SWITCHNAME40,61811
SL55ACDBP11,HOSTNAME41,61847,SWITCHNAME41,61810
SL55PTDB1P12,HOSTNAME42,61847,SWITCHNAME42,61810
SL55PTDB1P11,HOSTNAME43,61847,SWITCHNAME43,61810
SL55PTDB1P12,HOSTNAME44,61847,SWITCHNAME44,61810
SL55PTDB1P01,HOSTNAME45,61847,SWITCHNAME45,61810
CW461INFRPS11N1,HOSTNAME46,61847,SWITCHNAME46,61811
SW461DLPDISPA10,HOSTNAME47,61847,SWITCHNAME47,61811
SV461ESXMN11,HOSTNAME48,61847,SWITCHNAME48,61811
SV461ESXMN15,HOSTNAME49,61847,SWITCHNAME49,61811
SV461ESXMN16,HOSTNAME50,61847,SWITCHNAME50,61811
SV461ESXMN13,HOSTNAME51,61847,SWITCHNAME51,61811
SL55COMMDB1P10,HOSTNAME52,61847,SWITCHNAME52,61811
SV461ESXMN10,HOSTNAME53,61850,SWITCHNAME53,61811
SV461ESXMN14,HOSTNAME54,61850,SWITCHNAME54,61811
SV461ESXEX10,HOSTNAME55,61850,SWITCHNAME55,61811
SV461ESXEX24,HOSTNAME56,61850,SWITCHNAME56,61811
SV461ESXEX17,HOSTNAME57,61850,SWITCHNAME57,61811
SV461ESXEX15,HOSTNAME58,61850,SWITCHNAME58,61811
SL55COMMDB1P01,HOSTNAME59,61850,SWITCHNAME59,61811
SL55PTDB1C12,HOSTNAME60,61850,SWITCHNAME60,61810
SL55RATDBP11,HOSTNAME61,61850,SWITCHNAME61,61810
SL55PTDB1C12,HOSTNAME62,61850,SWITCHNAME62,61810
SV586ESXVDI11,HOSTNAME63,61850,SWITCHNAME63,61909
SL55AMSAPP24,HOSTNAME64,61850,SWITCHNAME64,61810
SV461ESX6199,HOSTNAME65,61850,SWITCHNAME65,61920
SL55FRADBP11,HOSTNAME66,61850,SWITCHNAME66,61810
SL55PTDB1P11,HOSTNAME67,61850,SWITCHNAME67,61810
CW460TXPS00N0,HOSTNAME68,61850,SWITCHNAME68,61810
CW460TXPS00N0,HOSTNAME69,61848,SWITCHNAME69,61810
SL55PTDB1P11,HOSTNAME70,61848,SWITCHNAME70,61810
SV461ESXEX24,HOSTNAME71,61848,SWITCHNAME71,61811
SV461ESXEX24,HOSTNAME72,61848,SWITCHNAME72,61811
SV461ESXEX13,HOSTNAME73,61848,SWITCHNAME73,61811
SV461ESXEX17,HOSTNAME74,61848,SWITCHNAME74,61811
SV461ESXEX24,HOSTNAME75,61848,SWITCHNAME75,61811
SV461ESXEX28,HOSTNAME76,61848,SWITCHNAME76,61811
SV461ESXEX24,HOSTNAME77,61848,SWITCHNAME77,61811
SV461ESXEX16,HOSTNAME78,61848,SWITCHNAME78,61811
SV461ESXEX28,HOSTNAME79,61848,SWITCHNAME79,61811
SV461ESXEX11,HOSTNAME80,61848,SWITCHNAME80,61811
SV461ESXEX29,HOSTNAME81,61831,SWITCHNAME81,61811
SV461ESXEX16,HOSTNAME82,61831,SWITCHNAME82,61811
SV461ESXEX29,HOSTNAME83,61812,SWITCHNAME83,61811
SL55CSDDBP11,HOSTNAME84,61812,SWITCHNAME84,61811
SV461ESXEX11,HOSTNAME85,61831,SWITCHNAME85,61811
SL55MAPAYDB1C10,HOSTNAME86,61831,SWITCHNAME86,61811
SL55RACSIP11,HOSTNAME87,61812,SWITCHNAME87,61811
SL55MAPAYDB1C10,HOSTNAME88,61812,SWITCHNAME88,61811
SV461ESXEX26,HOSTNAME89,61812,SWITCHNAME89,61811
SV461ESXEX14,HOSTNAME90,61812,SWITCHNAME90,61811
SV461ESXEX28,HOSTNAME91,61831,SWITCHNAME91,61811
SA55VRMDBP12,HOSTNAME92,61831,SWITCHNAME92,61811
SV461ESXEX14,HOSTNAME93,61831,SWITCHNAME93,61811
SV461ESXEX26,HOSTNAME94,61831,SWITCHNAME94,61811
SV461ESXEX22,HOSTNAME95,61812,SWITCHNAME95,61811
SL55COMMDB1P01,HOSTNAME96,61812,SWITCHNAME96,61811
SV461ESXEX19,HOSTNAME97,61854,SWITCHNAME97,61811
SV461ESXEX32,HOSTNAME98,61854,SWITCHNAME98,61811
SV461ESXEX16,HOSTNAME99,61854,SWITCHNAME99,61811
SV461ESXEX32,HOSTNAME100,61854,SWITCHNAME100,61811
SV461ESXEX13,HOSTNAME101,61854,SWITCHNAME101,61811
SV461ESXEX28,HOSTNAME102,61854,SWITCHNAME102,61811
SV461ESXEX16,HOSTNAME103,61854,SWITCHNAME103,61811
SV461ESXEX20,HOSTNAME104,61854,SWITCHNAME104,61811
SV461ESXEX31,HOSTNAME105,61855,SWITCHNAME105,61811
SV461ESXEX29,HOSTNAME106,61855,SWITCHNAME106,61811
SV461ESXEX24,HOSTNAME107,61855,SWITCHNAME107,61811
SV461ESXEX24,HOSTNAME108,61855,SWITCHNAME108,61811
SV461ESXEX10,HOSTNAME109,61855,SWITCHNAME109,61811
SL55PAYREDBP12,HOSTNAME110,61855,SWITCHNAME110,61811
SL55PTDB2P11,HOSTNAME111,61855,SWITCHNAME111,61811
SV461ESX796,HOSTNAME112,61855,SWITCHNAME112,0
