name, role, title
"Keanu Reeves", "Neo", "The Matrix"
"Carrie-Anne Moss", "Trinity", "The Matrix"
"Laurence Fishburne", "Morpheus", "The Matrix"
"Hugo Weaving", "Agent Smith", "The Matrix"
"Emil Eifrem", "Emil", "The Matrix"
"Keanu Reeves", "Neo", "The Matrix Reloaded"
"Carrie-Anne Moss", "Trinity", "The Matrix Reloaded"
"Laurence Fishburne", "Morpheus", "The Matrix Reloaded"
"Hugo Weaving", "Agent Smith", "The Matrix Reloaded"
"Keanu Reeves" , "Neo", "The Matrix Revolutions"
"Carrie-Anne Moss", "Trinity", "The Matrix Revolutions"
"Laurence Fishburne", "Morpheus", "The Matrix Revolutions"
"Hugo Weaving", "Agent Smith", "The Matrix Revolutions"
"Keanu Reeves", "Kevin Lomax", "The Devil's Advocate"
"Charlize Theron", "Mary Ann Lomax", "The Devil's Advocate"
"Al Pacino", "John Milton", "The Devil's Advocate"
"Tom Cruise", "Lt. Daniel Kaffee", "A Few Good Men"
"Jack Nicholson", "Col. Nathan R. Jessup", "A Few Good Men"
"Demi Moore", "Lt. Cdr. JoAnne Galloway", "A Few Good Men"
"Kevin Bacon", "Capt. Jack Ross", "A Few Good Men"
"Kiefer Sutherland", "Lt. Jonathan Kendrick", "A Few Good Men"
"Noah Wyle", "Cpl. Jeffrey Barnes", "A Few Good Men"
"Cuba Gooding Jr.", "Cpl. Carl Hammaker", "A Few Good Men"
"Kevin Pollak", "Lt. Sam Weinberg", "A Few Good Men"
"J.T. Walsh", "Lt. Col. Matthew Andrew Markinson", "A Few Good Men"
"James Marshall", "Pfc. Louden Downey", "A Few Good Men"
"Christopher Guest", "Dr. Stone", "A Few Good Men"
"Aaron Sorkin", "Man in Bar", "A Few Good Men"
"Tom Cruise", "Maverick", "Top Gun"
"Kelly McGillis", "Charlie", "Top Gun"
"Val Kilmer", "Iceman", "Top Gun"
"Anthony Edwards", "Goose", "Top Gun"
"Tom Skerritt", "Viper", "Top Gun"
"Meg Ryan", "Carole", "Top Gun"
"Tom Cruise", "Jerry Maguire", "Jerry Maguire"
"Cuba Gooding Jr.", "Rod Tidwell", "Jerry Maguire"
"Renee Zellweger", "Dorothy Boyd", "Jerry Maguire"
"Kelly Preston", "Avery Bishop", "Jerry Maguire"
"Jerry O'Connell", "Frank Cushman", "Jerry Maguire"
"Jay Mohr", "Bob Sugar", "Jerry Maguire"
"Bonnie Hunt", "Laurel Boyd", "Jerry Maguire"
"Regina King", "Marcee Tidwell", "Jerry Maguire"
"Jonathan Lipnicki", "Ray Boyd", "Jerry Maguire"
"Wil Wheaton", "Gordie Lachance", "Stand By Me"
"River Phoenix", "Chris Chambers", "Stand By Me"
"Jerry O'Connell", "Vern Tessio", "Stand By Me"
"Corey Feldman", "Teddy Duchamp", "Stand By Me"
"John Cusack", "Denny Lachance", "Stand By Me"
"Kiefer Sutherland", "Ace Merrill", "Stand By Me"
"Marshall Bell", "Mr. Lachance", "Stand By Me"
"Jack Nicholson", "Melvin Udall", "As Good As It Gets"
"Helen Hunt", "Carol Connelly", "As Good As It Gets"
"Greg Kinnear", "Simon Bishop", "As Good As It Gets"
"Cuba Gooding Jr.", "Frank Sachs", "As Good As It Gets"
"Robin Williams", "Chris Nielsen", "What Dreams May Come"
"Cuba Gooding Jr.", "Albert Lewis", "What Dreams May Come"
"Annabella Sciorra", "Annie Collins'Nielsen", "What Dreams May Come"
"Max von Sydow", "The Tracker", "What Dreams May Come"
"Werner Herzog", "The Face", "What Dreams May Come"
"Ethan Hawke", "Ishmael Chambers", "Snow Falling on Cedars"
"Rick Yune", "Kazuo Miyamoto", "Snow Falling on Cedars"
"Max von Sydow", "Nels Gudmundsson", "Snow Falling on Cedars"
"James Cromwell", "Judge Fielding", "Snow Falling on Cedars"
"Tom Hanks", "Joe Fox", "You've Got Mail"
"Meg Ryan", "Kathleen Kelly", "You've Got Mail"
"Greg Kinnear", "Frank Navasky", "You've Got Mail"
"Parker Posey", "Patricia Eden", "You've Got Mail"
"Dave Chappelle", "Kevin Jackson", "You've Got Mail"
"Steve Zahn", "George Pappas", "You've Got Mail"
"Tom Hanks", "Sam Baldwin", "Sleepless In Seattle"
"Meg Ryan", "Annie Reed", "Sleepless In Seattle"
"Rita Wilson", "Suzy", "Sleepless In Seattle"
"Bill Pullman", "Walter", "Sleepless In Seattle"
"Victor Garber", "Greg", "Sleepless In Seattle"
"Rosie O'Donnell", "Becky", "Sleepless In Seattle"
"Tom Hanks", "Joe Banks", "Joe Versus the Volcano"
"Meg Ryan", "DeDe", "Joe Versus the Volcano"
"Nathan Lane", "Baw", "Joe Versus the Volcano"
"Billy Crystal", "Harry Burns", "When Harry Met Sally"
"Meg Ryan", "Sally Albright", "When Harry Met Sally"
"Carrie Fisher", "Marie", "When Harry Met Sally"
"Bruno Kirby", "Jess", "When Harry Met Sally"
"Tom Hanks", "Mr. White", "That Thing You Do"
"Liv Tyler", "Faye Dolan", "That Thing You Do"
"Charlize Theron", "Tina", "That Thing You Do"
"Keanu Reeves", "Shane Falco", "The Replacements"
"Brooke Langton", "Annabelle Farrell", "The Replacements"
"Gene Hackman", "Jimmy McGinty", "The Replacements"
"Orlando Jones", "Clifford Franklin", "The Replacements"
"Marshall Bell", "Admiral", "RescueDawn"
"Christian Bale", "Dieter Dengler", "RescueDawn"
"Zach Grenier", "Squad Leader", "RescueDawn"
"Steve Zahn", "Duane", "RescueDawn"
"Robin Williams", "Armand Goldman", "The Birdcage"
"Nathan Lane", "Albert Goldman", "The Birdcage"
"Gene Hackman", "Sen. Kevin Keeley", "The Birdcage"
"Richard Harris", "English Bob", "Unforgiven"
"Clint Eastwood", "Bill Munny", "Unforgiven"
"Gene Hackman", "Little Bill Daggett", "Unforgiven"
"Keanu Reeves", "Johnny Mnemonic", "Johnny Mnemonic"
"Takeshi Kitano", "Takahashi", "Johnny Mnemonic"
"Dina Meyer", "Jane", "Johnny Mnemonic"
"Ice-T", "J'Bone", "Johnny Mnemonic"
"Tom Hanks", "Zachry", "Cloud Atlas"
"Hugo Weaving", "Bill Smoke", "Cloud Atlas"
"Halle Berry", "Luisa Rey", "Cloud Atlas"
"Jim Broadbent", "Vyvyan Ayrs", "Cloud Atlas"
"Tom Hanks", "Dr. Robert Langdon", "The Da Vinci Code"
"Ian McKellen", "Sir Leight Teabing", "The Da Vinci Code"
"Audrey Tautou", "Sophie Neveu", "The Da Vinci Code"
"Paul Bettany", "Silas", "The Da Vinci Code"
"Hugo Weaving", "V", "V for Vendetta"
"Natalie Portman", "Evey Hammond", "V for Vendetta"
"Stephen Rea", "Eric Finch", "V for Vendetta"
"John Hurt", "High Chancellor Adam Sutler", "V for Vendetta"
"Ben Miles", "Dascomb", "V for Vendetta"
"Emile Hirsch", "Speed Racer", "Speed Racer"
"John Goodman", "Pops", "Speed Racer"
"Susan Sarandon", "Mom", "Speed Racer"
"Matthew Fox", "Racer X", "Speed Racer"
"Christina Ricci", "Trixie", "Speed Racer"
"Rain", "Taejo Togokahn", "Speed Racer"
