name, birthyear
"Keanu Reeves", 1964
"Carrie-Anne Moss", 1967
"Laurence Fishburne", 1961
"Hugo Weaving", 1960
"Lilly Wachowski", 1967
"Lana Wachowski", 1965
"Joel Silver", 1952
"Emil Eifrem", 1978
"Charlize Theron", 1975
"Al Pacino", 1940
"Taylor Hackford", 1944
"Tom Cruise", 1962
"Jack Nicholson", 1937
"Demi Moore", 1962
"Kevin Bacon", 1958
"Kiefer Sutherland", 1966
"Noah Wyle", 1971
"Cuba Gooding Jr.", 1968
"Kevin Pollak", 1957
"J.T. Walsh", 1943
"James Marshall", 1967
"Christopher Guest", 1948
"Rob Reiner", 1947
"Aaron Sorkin", 1961
"Kelly McGillis", 1957
"Val Kilmer", 1959
"Anthony Edwards", 1962
"Tom Skerritt", 1933
"Meg Ryan", 1961
"Tony Scott", 1944
"Jim Cash", 1941
"Renee Zellweger", 1969
"Kelly Preston", 1962
"Jerry O'Connell", 1974
"Jay Mohr", 1970
"Bonnie Hunt", 1961
"Regina King", 1971
"Jonathan Lipnicki", 1996
"Cameron Crowe", 1957
"River Phoenix", 1970
"Corey Feldman", 1971
"Wil Wheaton", 1972
"John Cusack", 1966
"Marshall Bell", 1942
"Helen Hunt", 1963
"Greg Kinnear", 1963
"James L. Brooks", 1940
"Annabella Sciorra", 1960
"Max von Sydow", 1929
"Werner Herzog", 1942
"Robin Williams", 1951
"Vincent Ward", 1956
"Ethan Hawke", 1970
"Rick Yune", 1971
"James Cromwell", 1940
"Scott Hicks", 1953
"Parker Posey", 1968
"Dave Chappelle", 1973
"Steve Zahn", 1967
"Tom Hanks", 1956
"Nora Ephron", 1941
"Rita Wilson", 1956
"Bill Pullman", 1953
"Victor Garber", 1949
"Rosie O'Donnell", 1962
"John Patrick Stanley", 1950
"Nathan Lane", 1956
"Billy Crystal", 1948
"Carrie Fisher", 1956
"Bruno Kirby", 1949
"Liv Tyler", 1977
"Brooke Langton", 1970
"Gene Hackman", 1930
"Orlando Jones", 1968
"Howard Deutch", 1950
"Christian Bale", 1974
"Zach Grenier", 1954
"Mike Nichols", 1931
"Richard Harris", 1930
"Clint Eastwood", 1930
"Takeshi Kitano", 1947
"Dina Meyer", 1968
"Ice-T", 1958
"Robert Longo", 1953
"Halle Berry", 1966
"Jim Broadbent", 1949
"Tom Tykwer", 1965
"David Mitchell", 1969
"Stefan Arndt", 1961
"Ian McKellen", 1939
"Audrey Tautou", 1976
"Paul Bettany", 1971
"Ron Howard", 1954
"Natalie Portman", 1981
"Stephen Rea", 1946
"John Hurt", 1940
"Ben Miles", 1967
"Emile Hirsch", 1985
"John Goodman", 1960
"Susan Sarandon", 1946
"Matthew Fox", 1966
"Christina Ricci", 1980
"Rain", 1982
"Naomie Harris", 1976
"Michael Clarke Duncan", 1957
"David Morse", 1953
"Sam Rockwell", 1968
"Gary Sinise", 1955
"Patricia Clarkson", 1959
"Frank Darabont", 1959
"Frank Langella", 1938
"Michael Sheen", 1969
"Oliver Platt", 1960
"Danny DeVito", 1944
"John C. Reilly", 1965
"Ed Harris", 1950
"Bill Paxton", 1955
"Philip Seymour Hoffman", 1967
"Jan de Bont", 1943
"Robert Zemeckis", 1951
"Milos Forman", 1932
"Diane Keaton", 1946
"Nancy Meyers", 1949
"Chris Columbus", 1958
"Julia Roberts", 1967
"Madonna", 1954
"Geena Davis", 1956
"Lori Petty", 1963
"Penny Marshall", 1943
"Paul Blythe", 0
"Angela Scope", 0
"Jessica Thompson", 0
"James Thompson", 0
