ID,runtime,title,release_date
41697,0,,0
36936,0,,0
13869,0,,0
6155,0,,0
8303,0,,0
6864,0,,0
16292,0,,0
45096,99,Eve of Destruction,664156800
35000,0,,0
38503,90,Christina's House,951350400
61267,90,Clara and Me,1088553600
10114,0,,0
10491,119,Enigma,980121600
7872,95,The Road to Guantanamo,1141862400
21177,0,,0
38005,0,,0
52317,0,,0
4417,0,,0
3215,0,,0
39889,94,The Candy Snatchers,94694400
13741,94,2 Alone in Paris,1214352000
24534,0,,0
45208,0,,0
43691,113,The Count of Monte Cristo,-1114646400
62004,0,,0
52893,0,,0
15652,0,,0
45768,0,,0
55031,0,,0
34319,0,,0
10652,112,Hamburger Hill,556675200
55102,0,,0
62471,0,,0
43392,76,The Jackie Robinson Story,-619488000
61341,89,Ferocious Planet,1302307200
2565,102,Joe Versus the Volcano,636940800
9762,104,Step Up,1155254400
48613,94,The Devil's Veil,599702400
20388,110,De Indringer,1110931200
59140,0,,0
37695,107,Newsmakers,1241654400
64705,0,,0
7049,0,,0
24950,0,,0
7199,0,,0
46630,0,,0
3523,0,,0
42922,0,,0
24530,0,,0
37442,0,,0
26099,0,,0
49192,0,,0
47623,0,,0
34325,30,Dead Kennedys: The Early Years,536457600
54449,0,,0
35444,0,,0
13516,102,Slacker Uprising,1190851200
61414,0,,0
9719,113,Pumpkin,1025222400
27853,0,,0
13460,108,Doomsday,1205452800
57458,17,A Letter to Uncle Boonmee,1241481600
61023,0,,0
36214,104,Rebirth of Mothra,850521600
21431,0,Big Game,1199145600
32585,0,,0
60223,0,,0
55637,0,,0
24518,96,"The Long,-500774400
41027,0,,0
20945,71,The Seventh Victim,-832032000
62736,0,,0
10982,80,Hoodwinked!,1134691200
55702,0,,0
54437,0,,0
8776,95,The Toth Family,-2851200
48732,84,America's Heart and Soul,1088899200
3382,0,,0
23508,94,Embodiment of Evil,1218153600
19376,0,,0
37451,158,The Inn of the Sixth Happiness,-348969600
31710,0,,0
58335,0,,0
14452,96,Kill Switch,1223251200
44030,0,,0
63809,91,Three Days,1007856000
24416,0,,0
49132,0,,0
14999,0,,0
13364,101,Deliver Us from Evil,1151107200
33802,0,,0
49424,0,,0
8662,0,,0
45507,0,,0
1949,157,Zodiac,1172793600
19499,80,Jimmy Carr: Stand Up,1104537600
4144,0,,0
27670,0,,0
13966,104,Maybe Baby,959904000
53529,0,,0
63720,0,,0
46139,0,,0
60940,0,,0
31184,103,The Accidental Gangster and the Mistaken Courtesean,1228262400
9704,0,,0
59048,0,,0
3431,0,,0
47522,0,,0
63681,120,The Cheaters,-354326400
24948,82,Zombies! Zombies! Zombies!,1220918400
18181,85,Manda Bala (Send a Bullet),1169251200
16686,90,Varg Veum - Bitter Flowers,1190937600
40554,0,,0
29103,92,The Sadist,-213148800
55026,0,,0
1054,0,,0
34329,0,,0
23908,108,A Midnight Clear,704073600
56802,0,,0
24033,0,,0
60644,0,,0
15077,92,Election 2,1146096000
37700,105,Mr. Bjarnfreðarson,1261785600
32319,103,Beware of a Holy Whore,52185600
17534,0,,0
7958,0,,0
35328,0,,0
53247,0,,0
9264,93,Poison Ivy,705283200
15655,77,The Tigger Movie,950227200
15269,0,,0
52643,0,,0
47579,0,,0
41048,0,,0
63680,0,,0
27300,78,Hair High,1082160000
18356,0,,0
58992,0,,0
62683,0,,0
31651,110,The Field,661737600
57481,0,,0
9146,0,,0
50709,0,,0
55378,0,,0
23257,0,,0
18910,118,The Ninth Configuration,320630400
58076,91,Immortal Sergeant,-841881600
58679,92,"The Butcher,1300320000
34414,0,,0
46193,90,"Ride,-519436800
37562,0,,0
20222,0,,0
23891,0,,0
22536,133,Thirst,1241049600
40730,99,On Borrowed Time,-962150400
5378,0,,0
11531,90,Book of Shadows: Blair Witch 2,972604800
16660,0,,0
51434,91,The Fourth War,636854400
12218,0,,0
42755,0,,0
49480,0,,0
62927,0,,0
56315,0,,0
13018,107,Deception,1208995200
9449,86,The Borrowers,881280000
2450,0,,0
28929,0,,0
60929,0,,0
12659,113,Beijing Bicycle,982368000
43331,0,,0
55686,0,,0
8729,0,,0
23362,0,,0
32256,0,,0
18339,0,,0
17753,0,,0
16610,0,,0
57912,0,,0
25860,0,,0
20942,102,House of Bamboo,-457747200
49655,0,,0
49881,0,,0
54185,0,,0
9690,97,Verschwende deine Jugend,1057190400
14196,88,Garden Party,1215734400
9417,87,Wrongfully Accused,903657600
16163,0,,0
34568,0,,0
1338,0,,0
36201,0,,0
7693,0,,0
14072,167,Rab Ne Bana Di Jodi,1228953600
44063,0,,0
42603,128,Valentino,242438400
29635,0,,0
16401,0,,0
31796,0,,0
17618,90,Laid to Rest,1238630400
31951,0,,0
439,174,La Dolce Vita,-312595200
50631,0,,0
41990,0,,0
6160,0,,0
59071,0,,0
39323,48,Dragon Ball Z: Bardock - The Father of Goku,656121600
6373,88,The Very Thought of You,894585600
52658,0,,0
43853,121,The Girl of the Golden West,-1003276800
41744,0,,0
7497,0,,0
60608,98,How I Killed My Father,1000857600
10875,114,The Fabulous Baker Boys,624240000
62365,0,,0
51545,0,,0
18261,0,,0
34774,98,In Search of the Castaways,-223603200
28545,0,,0
4167,0,,0
9955,93,Blades of Glory,1175212800
61445,0,,0
12764,100,Missing in Action 2: The Beginning,478483200
41712,0,,0
35625,0,,0
3293,97,Pirates of Silicon Valley,926294400
28177,87,Two Thousand Maniacs!,-182563200
25035,0,,0
44586,0,,0
8027,0,,0
53113,127,One True Thing,906076800
31523,0,,0
61620,0,,0
9828,98,Unknown,1162512000
22383,117,The Professionals,-99964800
25317,0,,0
9052,0,,0
569,0,,0
41572,0,,0
20649,128,Clockers,811123200
52615,90,Meltdown: Days of Destruction,1140998400
43890,101,Broadway Melody of 1936,-1081900800
35411,127,The Dancer and the Thief,1259280000
60340,0,,0
59846,0,,0
34892,0,,0
8846,88,Alone,1098921600
39545,99,TiMER,1242259200
32307,81,Santa Claus Conquers the Martians,-161913600
44467,0,,0
40076,0,,0
58593,0,,0
32808,0,,0
15289,75,Babylon 5: The Lost Tales - Voices in the Dark,1185840000
207,129,Dead Poets Society,612748800
16270,83,Career Opportunities,670204800
46493,117,Flowing,-413856000
26106,0,,0
20984,0,,0
15060,90,Futurama: Into the Wild Green Yonder,1235347200
45162,78,Superman/Batman: Apocalypse,1285632000
51042,0,,0
7737,94,Resident Evil: Extinction,1190246400
14655,103,Soul Men,1226016000
31213,0,,0
2246,107,Malice,749260800
5263,0,,0
47197,76,The Lion Has Wings,-951868800
41346,0,,0
28032,87,Thumbelina,764985600
20893,114,Shadowheart,1249344000
55380,0,,0
15963,0,,0
58918,90,Backflash,1011657600
32376,0,,0
1941,208,Exodus,-308188800
43079,92,Mad About Mambo,954806400
31511,97,Gold Diggers of 1933,-1154995200
53728,0,,0
51625,0,,0
1072,0,,0
59566,67,"Think Fast,-1023494400
53922,92,Carbon Copy,370224000
37921,165,In Harm's Way,-149558400
62386,0,,0
10362,110,Two Lovers,1227052800
49972,0,,0
2990,102,Pacific Heights,654480000
64175,0,,0
50683,0,,0
15485,0,,0
17447,92,Jeffrey,808704000
9523,121,Lantana,1002153600
20694,84,Rugrats Go Wild,1055462400
61872,240,Alice,1260057600
47981,0,,0
36211,130,Japón,1009843200
27360,95,King's Ransom,1114128000
12040,0,,0
13419,0,,0
59944,128,From Me To You,1285372800
32770,0,,0
8917,0,,0
50836,0,,0
8906,98,Cloud 9,1210982400
21003,0,,0
5052,119,Topkapi,-168220800
22765,96,The Shadow Riders,402019200
28484,94,Colorado Territory,-648777600
58758,0,,0
42872,92,Alien 2: On Earth,324259200
49331,0,,0
29666,0,,0
39894,0,,0
25244,0,,0
56907,0,,0
6403,0,,0
28450,82,The Rift,636940800
26196,0,,0
23727,0,,0
8002,0,,0
27536,0,,0
53497,0,,0
6194,0,,0
36760,79,The 3rd Voice,-310089600
61652,0,,0
61408,0,,0
44421,0,,0
44788,0,,0
49937,0,,0
3720,0,,0
2189,91,Tomboy,500774400
55718,0,,0
37091,90,FAQs,1121472000
39626,0,,0
37842,104,Wild Grass,1242777600
30536,0,,0
3150,0,,0
42825,83,Crossroads,-866073600
48690,0,,0
26066,0,,0
39342,82,Fight for Your Life,244684800
32051,88,Race with the Devil,170812800
27596,0,,0
4901,0,,0
26312,0,,0
50119,88,Cool Dog,1294099200
37005,88,All Souls Day: Dia de los Muertos,1104537600
56533,106,Viva Knievel!,234748800
49417,0,,0
24937,0,,0
20697,107,Ready to Rumble,955065600
38010,112,Fish Story,1237507200
7930,0,,0
15140,0,,0
42016,0,,0
33407,75,Twigson,1255651200
62203,0,,0
36777,0,,0
7610,0,,0
22509,0,,0
45462,0,,0
4732,0,,0
52200,0,,0
56792,0,,0
44263,110,City Under Siege,1281484800
11548,106,Batteries not Included,566784000
