FACID,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,STREETNUM,STREETNAME,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR
010000001,GOLDEN LIVING CENTER - PETALUMA,SNF,SKILLED NURSING FACILITY,LTC,99,101 MONROE ST,PETALUMA,94954,2328,"CHOPERENA, MONICA",LEGALDEPT@GOLDENLIVING.COM,(707) 763-5219,(707) 763-4109,590,SONOMA,11,SANTA ROSA,Y,010000102,"BEVERLY HEALTH AND REHABILITATION SERVICES, INC.",05JUL1973,07NOV2017,06NOV2018,PROFIT CORP,38.25663,-122.628161,"(-122.628161,38.25663)",206492251,101,MONROE ST,49,SONOMA,	097,,,
010000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SNF,SKILLED NURSING FACILITY,LTC,181,850 SONOMA AVE,SANTA ROSA,95404,4715,"DURANCZYK, PAUL",PAULD@THEKKEK.COM,(707) 578-2140,(707) 544-7750,590,SONOMA,11,SANTA ROSA,Y,010000011,"NADHAN, INC.",12AUG1969,19NOV2017,18NOV2018,PROFIT CORP,38.4384,-122.705911,"(-122.705911,38.4384)",206490940,850,SONOMA AVE,49,SONOMA,	097,,,
010000004,CRESCENT CITY SKILLED NURSING,SNF,SKILLED NURSING FACILITY,LTC,99,1280 MARSHALL ST,CRESCENT CITY,95531,2217,"PORTER, RENEE G",RPORTER@CRESCENTCITYSKILLEDNURSING.COM,(707) 464-6064,(707) 464-6151,070,DEL NORTE,11,SANTA ROSA,Y,010000009,"CRESCENT CITY SKILLED NURSING, LLC",14SEP1971,29MAR2018,28MAR2019,LIMITED LIABILITY COMPANY,41.76854,-124.200871,"(-124.200871,41.76854)",206080930,1280,MARSHALL ST,08,DEL NORTE,	015,,,
010000005,WINDSOR CARE CENTER OF PETALUMA,SNF,SKILLED NURSING FACILITY,LTC,79,523 HAYES LN,PETALUMA,94952,4011,"NAIN, KABIR",SPECK@WINDSORCARES.COM,(707) 763-4860,(707) 763-2457,590,SONOMA,11,SANTA ROSA,Y,010000010,"WINDSOR CARE CENTER OF PETALUMA, LLC",01JUN1993,28MAR2018,27MAR2019,LIMITED LIABILITY COMPANY,38.22155,-122.646911,"(-122.646911,38.22155)",206490931,523,HAYES LN,49,SONOMA,	097,,,
010000020,FIRCREST CONVALESCENT HOSPITAL,SNF,SKILLED NURSING FACILITY,LTC,50,7025 CORLINE CT,SEBASTOPOL,95472,4520,"CHEATHAM, SUZETTE",PSTEPHENS@THEKKEK.COM,(707) 827-4489,(707) 823-7444,590,SONOMA,11,SANTA ROSA,Y,010000012,"SANDHYA, INC.",01JUL1988,13MAR2017,12MAR2018,PROFIT CORP,38.38961,-122.813781,"(-122.813781,38.38961)",206490947,7025,CORLINE CT,49,SONOMA,	097,,,
010000022,FRIENDS HOUSE,SNF,SKILLED NURSING FACILITY,LTC,34,684 BENICIA DRIVE,SANTA ROSA,95409,3058,"HEZAR, JASMINE",FRIENDSHOUSE@RETIREMENT.ORG,(707) 576-6616,(707) 538-0152,590,SONOMA,11,SANTA ROSA,Y,010000123,FRIENDS ASSN OF SVCS FOR THE ELDERLY,16APR1984,16NOV2018,15NOV2019,NONPROFIT CORP,38.47202,-122.672591,"(-122.672591,38.47202)",206492287,684,BENICIA DRIVE,49,SONOMA,	097,,,
010000024,"GRANADA REHAB & WELLNESS CENTER, LP",SNF,SKILLED NURSING FACILITY,LTC,87,2885 HARRIS ST,EUREKA,95503,4808,"BRASIER, ALICE",ADMINISTRATOR@GRANADAREHABWC.COM,(707) 441-8446,(707) 443-1627,110,HUMBOLDT,11,SANTA ROSA,Y,010000015,"GRANADA REHABILITATION & WELLNESS CENTER, LP",01APR1979,01NOV2018,31OCT2019,PARTNERSHIP,40.78111,-124.135511,"(-124.135511,40.78111)",206120955,2885,HARRIS ST,12,HUMBOLDT,	023,,,
010000026,APPLE VALLEY POST-ACUTE REHAB,SNF,SKILLED NURSING FACILITY,LTC,95,1035 GRAVENSTEIN AVE,SEBASTOPOL,95472,4538,"NOE, NATHAN",NNOE@APPLEVALLEYREHAB.COM,(707) 823-7672,(707)823-7675,590,SONOMA,11,SANTA ROSA,Y,010000016,"A.V.C.H., INC. DBA APPLE VALLEY POST-ACUTE REHAB",01JAN1978,21NOV2017,20NOV2018,PROFIT CORP,38.38956,-122.814771,"(-122.814771,38.38956)",206490956,1035,GRAVENSTEIN AVE,49,SONOMA,	097,,,
010000028,EMPRES POST ACUTE REHABILITATION,SNF,SKILLED NURSING FACILITY,LTC,98,300 DOUGLAS ST,PETALUMA,94952,2503,"SMITH, CONSTANCE  A",CSMITH3@EMPRES.COM,(707) 763-0314,(707) 763-6887,590,SONOMA,11,SANTA ROSA,Y,010000018,"EVERGREEN AT PETALUMA, LLC",18NOV1969,01NOV2018,31OCT2019,LIMITED LIABILITY COMPANY,38.22813,-122.645041,"(-122.645041,38.22813)",206490961,300,DOUGLAS ST,49,SONOMA,	097,,,
010000029,HEALDSBURG SENIOR LIVING COMMUNITY,SNF,SKILLED NURSING FACILITY,LTC,38,725 GROVE ST,HEALDSBURG,95448,4756,"MATTHEWS, ROBERT",RMATTHEWS@AVALONHCI.COM,(801) 596-9001,(707) 433-4877,590,SONOMA,11,SANTA ROSA,Y,010000014,"BERRYMAN HEALTH, INC.",01AUG1987,01NOV2017,31OCT2018,PROFIT CORP,38.626479,-122.875796,"(-122.875796,38.626479)",206490954,725,GROVE ST,49,SONOMA,	097,,,
