node,role,community
0,Administrator,Administrator
1,Member,Administrator
2,Member,Administrator
3,Member,Administrator
4,Member,Administrator
5,Member,Administrator
6,Member,Administrator
7,Member,Administrator
8,Member,Administrator
9,Member,Instructor
10,Member,Administrator
11,Member,Administrator
12,Member,Administrator
13,Member,Administrator
14,Member,Instructor
15,Member,Instructor
16,Member,Administrator
17,Member,Administrator
18,Member,Instructor
19,Member,Administrator
20,Member,Instructor
21,Member,Administrator
22,Member,Instructor
23,Member,Instructor
24,Member,Instructor
25,Member,Instructor
26,Member,Instructor
27,Member,Instructor
28,Member,Instructor
29,Member,Instructor
30,Member,Instructor
31,Member,Instructor
32,Member,Instructor
33,Instructor,Instructor

