name, movieTitle
"Lilly Wachowski", "The Matrix"
"Lana Wachowski", "The Matrix"
"Lilly Wachowski", "The Matrix Reloaded"
"Lana Wachowski", "The Matrix Reloaded"
"Lilly Wachowski", "The Matrix Revolutions"
"Lana Wachowski", "The Matrix Revolutions"
"Taylor Hackford", "The Devil's Advocate"
"Rob Reiner", "A Few Good Men"
"Tony Scott", "Top Gun"
"Cameron Crowe", "Jerry Maguire"
"Rob Reiner", "Stand By Me"
"James L. Brooks", "As Good As It Gets"
"Vincent Ward", "What Dreams May Come"
"Scott Hicks", "Snow Falling on Cedars"
"Nora Ephron", "You've Got Mail"
"Nora Ephron", "Sleepless In Seattle"
"John Patrick Stanley", "Joe Versus the Volcano"
"Rob Reiner", "When Harry Met Sally"
"Tom Hanks", "That Thing You Do"
"Howard Deutch", "The Replacements"
"Werner Herzog", "RescueDawn"
"Mike Nichols", "The Birdcage"
"Clint Eastwood", "Unforgiven"
"Robert Longo", "Johnny Mnemonic"
"Tom Tykwer", "Cloud Atlas"
"Lilly Wachowski", "Cloud Atlas"
"Lana Wachowski", "Cloud Atlas"
"Ron Howard", "The Da Vinci Code"
"James Marshall", "V for Vendetta"
"Lilly Wachowski", "Speed Racer"
"Lana Wachowski", "Speed Racer"
"James Marshall", "Ninja Assassin"
"Frank Darabont", "The Green Mile"
"Ron Howard", "Frost/Nixon"
"Danny DeVito", "Hoffa"
"Ron Howard", "Apollo 13"
"Jan de Bont", "Twister"
"Robert Zemeckis", "Cast Away"
"Milos Forman", "One Flew Over the Cuckoo's Nest"
"Nancy Meyers", "Something's Gotta Give"
"Chris Columbus", "Bicentennial Man"
"Mike Nichols", "Charlie Wilson's War"
"Robert Zemeckis", "The Polar Express"
"Penny Marshall", "A League of Their Own"
